name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,compression_score,tradeoff_score
near_golden_m0_010,near_golden,0.6080339887498948,0.34,0.31,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,10.428571774312607,2.392210471487493
near_golden_m0_010,near_golden,0.6080339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.284295655444799,2.337016026674173
near_golden_m0_010,near_golden,0.6080339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.284295655444799,2.337016026674173
near_golden_m0_010,near_golden,0.6080339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.284295655444799,2.337016026674173
near_golden_m0_005,near_golden,0.6130339887498948,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.916659333496293,2.9155491008925645
near_golden_m0_005,near_golden,0.6130339887498948,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.916659333496293,2.9155491008925645
near_golden_m0_005,near_golden,0.6130339887498948,0.2,0.31,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,10.916659333496293,2.9155491008925645
near_golden_m0_005,near_golden,0.6130339887498948,0.34,0.0,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.538838819454805,2.6438644771646262
near_golden_m0_005,near_golden,0.6130339887498948,0.34,0.17,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.538838819454805,2.6438644771646262
near_golden_m0_005,near_golden,0.6130339887498948,0.34,0.31,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,10.538838819454805,2.6438644771646262
near_golden_m0_005,near_golden,0.6130339887498948,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.123455478569252,2.3346034240210396
near_golden_m0_005,near_golden,0.6130339887498948,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.123455478569252,2.3346034240210396
near_golden_m0_005,near_golden,0.6130339887498948,0.47,0.31,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,10.123455478569252,2.3346034240210396
near_golden_p0_005,near_golden,0.6230339887498948,0.2,0.0,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.005235602094240838,191,10.574198279464758,2.6399933369145523
near_golden_p0_005,near_golden,0.6230339887498948,0.2,0.17,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.005235602094240838,191,10.574198279464758,2.6399933369145523
near_golden_p0_005,near_golden,0.6230339887498948,0.2,0.31,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.005235602094240838,191,10.574198279464758,2.6399933369145523
near_golden_p0_005,near_golden,0.6230339887498948,0.34,0.0,0.2727272727272727,3.0,0.23801634913625236,0.6414908323999232,0.005235602094240838,191,11.350522284689971,2.549257244611978
