flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,basin_radius,basin_depth,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.08,0.24,1,0.55,0.8815232722143864,0.46851574212893554,0.005081874647092038,0.24167137210615472,0.6,0.24435483870967742,0.6,0.32903225806451614,0.3685483870967742,0.4,0.0846629762292413,0.48682416487654845,0.6763471649607469
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.12,0.24,1,0.55,0.8778089887640449,0.4674644727000748,0.00564652738565782,0.23941276115189158,0.5938511326860841,0.2459546925566343,0.5938511326860841,0.3276699029126214,0.36650485436893204,0.40614886731391586,0.08563985672419408,0.48850776063397017,0.67654008511106
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.04,0.04,0.24,1,0.55,0.8860759493670886,0.4697986577181208,0.005081874647092038,0.23771880293619424,0.5590936925903246,0.2669932639314146,0.5590936925903246,0.2400489895897122,0.3423147581139008,0.44090630740967546,0.090524259198958,0.46446645274524645,0.7018014906661948
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.04,0.04,0.24,2,0.35,0.9034090909090909,0.4746268656716418,0.004517221908526256,0.2388481084133258,0.5542028985507247,0.2811594202898551,0.5542028985507247,0.21391304347826087,0.3368115942028985,0.44579710144927537,0.0963855421686747,0.47702252362272857,0.717912301159283
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.08,0.04,0.36,2,0.55,0.8216292134831461,0.4510408635312259,0.003952569169960474,0.2636928289102202,0.5592334494773519,0.27293844367015097,0.5592334494773519,0.14750290360046459,0.343205574912892,0.44076655052264807,0.08108108108108109,0.4796184713463941,0.7230464611744707
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.12,0.04,0.24,1,0.55,0.7408,0.4255514705882353,0.004517221908526256,0.38114059853190285,0.5793871866295265,0.2318941504178273,0.5793871866295265,0.24721448467966572,0.346100278551532,0.4206128133704735,0.0615434711820254,0.48636243549246216,0.6676181853245513
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.08,0.12,0.08,0.24,2,0.55,0.7909698996655519,0.44164332399626516,0.004517221908526256,0.39073969508752115,0.5595238095238095,0.20773809523809525,0.5595238095238095,0.20773809523809525,0.34345238095238095,0.44047619047619047,0.0674047541517421,0.44442201638204804,0.6815059880678622
golden,phi,0.6180339887498948,13,13,0.12,0.58,21,0.14,0.04,0.08,0.24,2,0.55,0.8986784140969163,0.4733178654292343,0.004517221908526256,0.26538678712591757,0.5511163337250293,0.27673325499412454,0.5511163337250293,0.2444183313748531,0.3337250293772033,0.4488836662749706,0.09443178117876913,0.46930086768040047,0.7051831664510912
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.08,0.04,0.04,0.36,1,0.55,0.9114713216957606,0.47684279191128504,0.004517221908526256,0.12987012987012986,0.4928301886792453,0.21735849056603773,0.4928301886792453,0.1449056603773585,0.17358490566037735,0.5071698113207547,0.09996743731683491,0.48659619885592387,0.766476388527619
golden,phi,0.6180339887498948,13,13,0.12,0.68,13,0.08,0.12,0.08,0.36,2,0.35,0.7950481430536451,0.442911877394636,0.003952569169960474,0.25917560700169395,0.4711729622266402,0.16766070245195494,0.4711729622266402,0.13253810470510272,0.17229953611663354,0.5288270377733598,0.07749918593292088,0.4811309787998742,0.735428772442349
