height,radius
4.613065326633166,12.190369412274372
4.658291457286432,12.269107335622586
4.703517587939698,12.35043541740926
4.748743718592965,12.435093702902533
4.793969849246231,12.523822237370535
4.839195979899498,12.617361066081399
4.884422110552764,12.716450234303256
4.9296482412060305,12.821829787304239
4.974874371859297,12.934239770352484
5.020100502512563,13.05519580427833
5.06532663316583,13.190531202006346
5.110552763819095,13.340091914332906
5.155778894472362,13.502397850721755
5.201005025125628,13.675968920636617
5.2462311557788945,13.85932503354123
5.291457286432161,14.050986098899337
5.336683417085427,14.249472026174661
5.381909547738694,14.453302724830944
5.42713567839196,14.66099810433192
5.472361809045227,14.871078074141321
5.517587939698493,15.082062543722884
5.562814070351759,15.292471422540341
5.608040201005025,15.500824620057436
5.653266331658291,15.705642045737893
5.698492462311558,15.905443609045452
5.743718592964824,16.098749219443853
5.788944723618091,16.284078786396822
5.834170854271357,16.459952219368095
5.8793969849246235,16.62488942782141
5.92462311557789,16.777410321220508
5.969849246231156,16.916034809029114
6.015075376884423,17.03975103922938
6.060301507537688,17.153823840040584
6.105527638190955,17.260701756300506
6.150753768844221,17.361124833277266
6.1959798994974875,17.45583311623901
6.241206030150754,17.545566650453853
6.28643216080402,17.631065481189946
6.331658291457287,17.71306965371541
6.376884422110553,17.792319213298377
6.42211055276382,17.86955420520699
6.467336683417086,17.945514674709376
6.5125628140703515,18.02094066707366
6.557788944723618,18.09657222756798
6.603015075376884,18.17314940146047
6.648241206030151,18.25141223401927
6.693467336683417,18.332100770512493
6.738693467336684,18.41595505620829
6.78391959798995,18.503715136374787
6.8291457286432165,18.59612105628011
6.874371859296483,18.693912861192405
6.919597989949749,18.797830596379793
6.964824120603016,18.908614307110412
7.010050251256281,19.02698867603
7.055276381909548,19.15301716701146
7.100502512562814,19.286320028887822
7.1457286432160805,19.426601243551836
7.190954773869347,19.573564792896242
7.236180904522613,19.726914658813794
7.28140703517588,19.88635482319724
7.326633165829146,20.05158926793932
7.371859296482413,20.222321974932786
7.417085427135679,20.39825692607039
7.462311557788945,20.57909810324486
7.507537688442211,20.764549488348962
7.552763819095477,20.954315063275434
7.597989949748744,21.14809880991703
7.64321608040201,21.34560471016649
7.688442211055277,21.546536745916566
7.733668341708543,21.75059889906
7.778894472361809,21.957495151489542
7.824120603015076,22.166929485097942
7.869346733668342,22.378605881777943
7.914572864321609,22.592228323422287
7.959798994974875,22.80750079192373
8.00502512562814,23.0241559302789
8.050251256281408,23.244715915630273
8.095477386934673,23.47087968820644
8.14070351758794,23.702536241217203
8.185929648241206,23.939574567872317
8.231155778894472,24.181883661381576
8.27638190954774,24.429352514954765
8.321608040201005,24.681870121801655
8.366834170854272,24.939325475132033
8.412060301507537,25.20160756815567
8.457286432160805,25.468605394082356
8.50251256281407,25.740207946121863
8.547738693467338,26.01630421748398
8.592964824120603,26.296783201378478
8.63819095477387,26.581533891015145
8.683417085427136,26.87044527960375
8.728643216080402,27.163406360354077
8.773869346733669,27.46030612647592
8.819095477386934,27.76103357117904
8.864321608040202,28.065477687673237
8.909547738693467,28.37352746916827
8.954773869346734,28.685071908873937
9.0,29.0
