mode,anchor,family,alpha,offset,window_width,beta,learning_rate,model_rate,surprise_high,revision_threshold,coherence_limit,write_threshold,instability_penalty,write_count,witness_count,admission_rate,write_rate,witness_rate,revision_rate,mean_revision_size,instability,embodied_cost,delayed_retention,pollution,phase_lock_resistance,composite_score
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.035,0.36,0.055,0.55,0.7,0.55,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.018129664288345206,0.05143360158986722,0.028288480874426973,1.0,0.01709819247679531,0.717659838362791,0.7539461777063118
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.035,0.36,0.055,0.55,0.7,0.55,35.0,0.0,0.5147058823529411,1.0,0.0,0.5147058823529411,0.01708691892209605,0.05145678454321664,0.028301231498769154,1.0,0.01709819247679531,0.6799214883070108,0.7402764445854875
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.035,0.36,0.055,0.55,0.7,0.55,24.0,0.0,0.3380281690140845,1.0,0.0,0.3380281690140845,0.016402554743528346,0.051204231845834176,0.0281623275152088,1.0,0.01172447484123107,0.6414901989774744,0.7146542609421701
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.035,0.36,0.1,0.32,0.44,0.35,30.0,0.0,0.43478260869565216,1.0,0.0,0.43478260869565216,0.01717945176258836,0.05136699513576498,0.01797844829751774,1.0,0.014655593551538837,0.5623092611997504,0.7463433267421681
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.035,0.36,0.1,0.32,0.44,0.35,32.0,0.0,0.4266666666666667,1.0,0.0,0.4266666666666667,0.017218551234430213,0.05140095391566179,0.017990333870481625,1.0,0.015632633121641426,0.6476911563126757,0.7632909834276657
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.035,0.36,0.1,0.32,0.44,0.35,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.018129664288345206,0.05143360158986722,0.018001760556453524,1.0,0.01709819247679531,0.717659838362791,0.7549748497381091
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.035,0.36,0.1,0.32,0.44,0.35,35.0,0.0,0.5147058823529411,1.0,0.0,0.5147058823529411,0.01708691892209605,0.05145678454321664,0.018009874590125822,1.0,0.01709819247679531,0.6799214883070108,0.7413055802763517
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.035,0.36,0.1,0.32,0.44,0.35,24.0,0.0,0.3380281690140845,1.0,0.0,0.3380281690140845,0.016402554743528346,0.051204231845834176,0.01792148114604196,1.0,0.01172447484123107,0.6414901989774744,0.7156783455790868
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.08,0.36,0.055,0.18,0.58,0.35,30.0,0.0,0.43478260869565216,1.0,0.0,0.43478260869565216,0.040282063625127484,0.05267463942939586,0.01843612380028855,1.0,0.014655593551538837,0.5623092611997504,0.7578488651231606
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.08,0.36,0.055,0.18,0.58,0.35,32.0,0.0,0.4266666666666667,1.0,0.0,0.4266666666666667,0.04073511391059077,0.05273169331081431,0.018456092658785006,1.0,0.015632633121641426,0.6476911563126757,0.7750026888869155
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.08,0.36,0.055,0.18,0.58,0.35,34.0,0.0,0.4788732394366197,1.0,0.0,0.4788732394366197,0.04399882286649136,0.05253533093384467,0.018387365826845633,1.0,0.016609672691744015,0.712039059114175,0.7713236782813665
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.08,0.36,0.055,0.18,0.58,0.35,35.0,0.0,0.5147058823529411,1.0,0.0,0.5147058823529411,0.04007522659387533,0.05279205934798167,0.018477220771793583,1.0,0.01709819247679531,0.6799214883070108,0.7527529994940746
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.08,0.36,0.055,0.18,0.58,0.35,24.0,0.0,0.3380281690140845,1.0,0.0,0.3380281690140845,0.03797191621545368,0.052352290191574835,0.01832330156705119,1.0,0.01172447484123107,0.6414901989774744,0.7264228442729487
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.08,0.52,0.055,0.32,0.44,0.35,23.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.040795730061417616,0.052614240874263446,0.018414984305992206,1.0,0.011235955056179775,0.590974761224708,0.7160730836772952
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.08,0.52,0.055,0.32,0.44,0.35,24.0,0.0,0.32,1.0,0.0,0.32,0.04093733957115728,0.05269285964663216,0.018442500876321256,1.0,0.01172447484123107,0.7970616602857484,0.7420000735100197
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.08,0.52,0.055,0.32,0.44,0.35,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.04401946042217354,0.052581826913887963,0.018403639419860784,1.0,0.01709819247679531,0.717659838362791,0.7678795599186825
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.08,0.52,0.055,0.32,0.44,0.35,28.0,0.0,0.4117647058823529,1.0,0.0,0.4117647058823529,0.04051875961147817,0.05273561666836981,0.018457465833929432,1.0,0.013678553981436248,0.6692455331460707,0.7782684988511914
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.08,0.52,0.055,0.32,0.44,0.35,17.0,0.0,0.23943661971830985,1.0,0.0,0.23943661971830985,0.03805763226405564,0.05232813476982094,0.018314847169437327,1.0,0.008304836345872008,0.6463890331416597,0.6601530504836601
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.08,0.52,0.055,0.55,0.7,0.55,23.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.040795730061417616,0.052614240874263446,0.0289378324808449,1.0,0.011235955056179775,0.590974761224708,0.71502079885981
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.08,0.52,0.055,0.55,0.7,0.55,24.0,0.0,0.32,1.0,0.0,0.32,0.04093733957115728,0.05269285964663216,0.02898107280564769,1.0,0.01172447484123107,0.7970616602857484,0.7409462163170871
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.08,0.52,0.055,0.55,0.7,0.55,35.0,0.0,0.49295774647887325,1.0,0.0,0.49295774647887325,0.04401946042217354,0.052581826913887963,0.028920004802638382,1.0,0.01709819247679531,0.717659838362791,0.7668279233804047
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.08,0.52,0.055,0.55,0.7,0.55,28.0,0.0,0.4117647058823529,1.0,0.0,0.4117647058823529,0.04051875961147817,0.05273561666836981,0.029004589167603397,1.0,0.013678553981436248,0.6692455331460707,0.777213786517824
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.08,0.52,0.055,0.55,0.7,0.55,17.0,0.0,0.23943661971830985,1.0,0.0,0.23943661971830985,0.03805763226405564,0.05232813476982094,0.02878047412340152,1.0,0.008304836345872008,0.6463890331416597,0.6591064877882638
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.17,0.36,0.025,0.32,0.7,0.75,30.0,25.0,0.7971014492753623,0.5454545454545454,0.45454545454545453,0.7971014492753623,0.0614100798879254,0.060063745472818494,0.04504780910461387,0.5454545454545454,0.014655593551538837,0.5369561990839584,0.6929317400023242
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.17,0.36,0.025,0.32,0.7,0.75,32.0,32.0,0.8533333333333334,0.5,0.5,0.8533333333333334,0.057094825207243696,0.06207989500080928,0.046559921250606956,0.5,0.015632633121641426,0.6042375770668234,0.675048545267757
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.17,0.36,0.025,0.32,0.7,0.75,35.0,36.0,1.0,0.49295774647887325,0.5070422535211268,1.0,0.0607772142891487,0.06381463784983848,0.047860978387378864,0.49295774647887325,0.01709819247679531,0.7415624739941247,0.69784563458082
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.17,0.36,0.025,0.32,0.7,0.75,35.0,17.0,0.7647058823529411,0.6730769230769231,0.3269230769230769,0.7647058823529411,0.06613152478533088,0.058948818836720186,0.04421161412754014,0.6730769230769231,0.01709819247679531,0.6865718789839169,0.7196496309806572
real,golden,phi,0.6420339887498948,0.024,0.16,0.0,0.06,0.17,0.36,0.025,0.32,0.7,0.75,24.0,34.0,0.8169014084507042,0.41379310344827586,0.5862068965517241,0.8169014084507042,0.05331610917027968,0.05995487024619606,0.04496615268464704,0.41379310344827586,0.01172447484123107,0.6382752020599713,0.6607832712682025
real,golden,phi,0.5940339887498948,-0.024,0.16,0.0,0.06,0.17,0.36,0.1,0.32,0.44,0.35,30.0,1.0,0.4492753623188406,0.967741935483871,0.03225806451612903,0.4492753623188406,0.08352730466953126,0.056056057802892155,0.019619620231012252,0.967741935483871,0.014655593551538837,0.5645313935306626,0.7767072003034531
real,golden,phi,0.6060339887498948,-0.012,0.16,0.0,0.06,0.17,0.36,0.1,0.32,0.44,0.35,32.0,3.0,0.4666666666666667,0.9142857142857143,0.08571428571428572,0.4666666666666667,0.08238122734264142,0.05722044839587781,0.020027156938557233,0.9142857142857143,0.015632633121641426,0.6518082456078047,0.7913684068742911
real,golden,phi,0.6180339887498948,0.0,0.16,0.0,0.06,0.17,0.36,0.1,0.32,0.44,0.35,35.0,7.0,0.5915492957746479,0.8333333333333334,0.16666666666666666,0.5915492957746479,0.08602850614862781,0.05888710831416531,0.02061048790995786,0.8333333333333334,0.01709819247679531,0.7287617794681842,0.7736867095882869
real,golden,phi,0.6300339887498948,0.012,0.16,0.0,0.06,0.17,0.36,0.1,0.32,0.44,0.35,35.0,2.0,0.5441176470588235,0.9459459459459459,0.05405405405405406,0.5441176470588235,0.08100828132686044,0.05646601404098165,0.019763104914343577,0.9459459459459459,0.01709819247679531,0.6833116022997301,0.7694648811104668
