anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_alignment_latency,contact_ring_rate,rigidity_after_perturbation,composite_score,surrogate_gap
silver,metallic_anchor,two_light_random_projection,-0.009000000000000011,0.0,0.8301449209055867,0.09467457298985954,0.8333333333333334,0.04382969242926349,5.54537037037037,0.4891764322916667,0.9397989908854166,0.48306896522498644,-0.022566333665845872
silver,metallic_anchor,two_light_shuffled_time,0.011999999999999983,0.25,0.8891094150653341,0.08787609844427775,0.8333333333333334,0.04013609865341839,5.578894927536233,0.4859212239583333,0.93994140625,0.5006016569755557,-0.005224138419204827
noble_a,noble_anchor,one_light_recurrence,0.01799999999999998,0.4166666666666667,0.49166322743345203,0.6068461189450174,1.0,0.2610716057445878,4.093705358155277,0.2830810546875,0.62725830078125,0.48109503315855145,-0.10466374797071759
noble_a,noble_anchor,two_light_plain,-0.030000000000000006,0.6666666666666666,0.7720427899684585,0.03156001984126984,0.16666666666666666,0.019355024806738202,8.333333333333334,0.486083984375,0.9482421875,0.556228019026711,0.08828051078385052
noble_a,noble_anchor,two_light_contact_ring,0.02399999999999998,0.5833333333333334,0.7270699301224087,0.009745144434585429,0.25,0.006211224961224962,8.333333333333334,0.928466796875,0.93011474609375,0.5497369606138235,0.023922337723358944
noble_a,noble_anchor,two_light_no_ring,-0.030000000000000006,0.6666666666666666,0.7720427899684585,0.03156001984126984,0.16666666666666666,0.019355024806738202,8.333333333333334,0.486083984375,0.9482421875,0.556228019026711,0.08912461957000795
noble_a,noble_anchor,two_light_random_projection,0.02099999999999998,0.16666666666666666,0.873277747313061,0.11196805239744186,0.9166666666666666,0.05581154886234499,4.9770843059446,0.4850056966145833,0.9412638346354166,0.49747700458935573,-0.014343071088658288
noble_a,noble_anchor,two_light_shuffled_time,0.014999999999999982,0.3333333333333333,0.8997414863722768,0.07248849495861685,0.8333333333333334,0.03485634896248581,4.448232323232323,0.4838460286458333,0.9416300455729166,0.5032673663945068,0.012223772123302779
bounded_probe,bounded_anchor,one_light_recurrence,0.02699999999999998,0.6666666666666666,0.5093865147029725,0.4849331600115733,0.8333333333333334,0.14490979970523313,6.40226984532243,0.282958984375,0.62591552734375,0.4537302704769015,-0.1353301818954457
bounded_probe,bounded_anchor,two_light_plain,0.02099999999999998,0.0,0.6618598063815834,0.017241379310344827,0.08333333333333333,0.00909090909090909,8.333333333333334,0.487548828125,0.95220947265625,0.530010281408832,0.052265310614729665
