branch,anchor,alpha,offset,window_width,beta,score_a,score_b,score_c,score_d,score_e,score_f,write_count,witness_count,activity_rate,delayed_retention,witness_conversion_proxy,write_persistence,pollution,overload_rate,phase_lock_resistance,generic_score
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,19.0,0.0,0.00927734375,1.0,0.0,0.0,0.009281875915974597,0.0,0.5982946035876773,0.442478942403511
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,22.0,0.0,0.0107421875,1.0,0.0,0.0,0.01074743527112848,0.0,0.8590078536549763,0.5015496673574045
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,24.0,0.0,0.01171875,1.0,0.0,0.0,0.01172447484123107,0.0,0.5231539030005796,0.42880433817282904
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,21.0,0.0,0.01025390625,1.0,0.0,0.0,0.010258915486077186,0.0,0.7156067653908513,0.46943015795960114
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,20.0,0.0,0.009765625,1.0,0.0,0.0,0.009770395701025891,0.0,0.7883012034317931,0.4848516643489124
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,21.0,0.0,0.01025390625,1.0,0.0,0.0,0.010258915486077186,0.0,0.6348691806186346,0.4516678893097134
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.08,0.52,0.1,0.32,0.44,23.0,0.0,0.01123046875,1.0,0.0,0.0,0.011235955056179775,0.0,0.7416131133022028,0.47629409445949017
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,32.0,32.0,0.03125,0.5,0.0,0.0,0.015632633121641426,0.0,0.74429833042246,0.4215575220432099
model_revision_witness,bounded_cf_2,0.6702505321462086,-0.023999999999999997,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,37.0,28.0,0.03173828125,0.5692307692307692,0.0,0.0,0.0180752320468979,0.0,0.7491228552813451,0.43411078423756716
model_revision_witness,bounded_cf_2,0.6822505321462086,-0.011999999999999997,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,36.0,32.0,0.033203125,0.5294117647058824,0.0,0.0,0.017586712261846604,0.0,0.7394462074948124,0.4274810172708522
model_revision_witness,bounded_cf_2,0.6942505321462086,3.469446951953614e-18,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,34.0,30.0,0.03125,0.53125,0.0,0.0,0.016609672691744015,0.0,0.6554288564808151,0.4069280746104398
model_revision_witness,bounded_cf_2,0.7062505321462086,0.012000000000000004,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,33.0,25.0,0.0283203125,0.5689655172413793,0.0,0.0,0.01612115290669272,0.0,0.45490891463875505,0.36522514237161136
model_revision_witness,bounded_cf_2,0.7182505321462086,0.024000000000000004,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,35.0,31.0,0.0322265625,0.5303030303030303,0.0,0.0,0.01709819247679531,0.0,0.5660381679592292,0.38829222952637166
model_revision_witness,bounded_cf_2,0.7302505321462086,0.036000000000000004,0.16,0.0,0.025,0.17,0.24,0.025,0.32,0.44,36.0,30.0,0.0322265625,0.5454545454545454,0.0,0.0,0.017586712261846604,0.0,0.6481411765290002,0.40874005225315957
model_revision_witness,bounded_cf_2,0.6582505321462085,-0.036,0.16,0.0,0.025,0.17,0.24,0.1,0.18,0.44,32.0,1.0,0.01611328125,0.9696969696969697,0.0,0.0,0.015632633121641426,0.0,0.6755359284245983,0.46266041031769545
