flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,family_radius,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_family_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.04,0.24,2,0.8315068493150685,0.45400149588631267,0.004517221908526256,0.24054206662902314,0.3944300518134715,0.14637305699481865,0.3944300518134715,0.16839378238341968,0.0,0.6055699481865285,0.08563985672419408,0.4727842885869459,0.7463535040517092
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.04,0.36,1,0.7967171717171717,0.44342937456078707,0.003952569169960474,0.19254658385093168,0.40540540540540543,0.171990171990172,0.40540540540540543,0.11793611793611794,0.0,0.5945945945945946,0.07717355910126994,0.48090283915999665,0.7670527696862653
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.08,0.08,0.36,2,0.8758002560819462,0.4668941979522184,0.003952569169960474,0.16883116883116883,0.39462163852407756,0.13946216385240776,0.39462163852407756,0.11632270168855535,0.0,0.6053783614759225,0.08954737870400521,0.47829293957465346,0.773902229338777
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.12,0.08,0.24,2,0.8331015299026425,0.4544764795144158,0.003952569169960474,0.2518351214003388,0.40264900662251657,0.14105960264900663,0.40264900662251657,0.18344370860927153,0.0,0.5973509933774834,0.0823835884076848,0.4749926363739273,0.7449860260628884
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.12,0.08,0.36,2,0.8312925170068027,0.4539375928677563,0.003952569169960474,0.2360248447204969,0.3939588688946015,0.14074550128534705,0.3939588688946015,0.12082262210796915,0.0,0.6060411311053985,0.08498860306089222,0.4748405845863508,0.7616908109449826
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.08,0.08,0.36,2,0.873202614379085,0.46615491974877876,0.003952569169960474,0.18690005646527386,0.39119496855345914,0.13962264150943396,0.39119496855345914,0.13333333333333333,0.0,0.6088050314465409,0.08922175187235429,0.479693772157026,0.7654043423413107
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,0.08,0.08,0.24,2,0.8692098092643051,0.4650145772594752,0.004517221908526256,0.22077922077922077,0.38834391229082516,0.16907097518753605,0.38834391229082516,0.16156953260242354,0.0,0.6116560877091748,0.09117551286225985,0.47681663974333255,0.7554592765528665
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.08,0.12,0.24,1,0.8907801418439716,0.4711177794448612,0.003952569169960474,0.24336533032185206,0.3850893407270487,0.16266173752310537,0.3850893407270487,0.2144177449168207,0.0,0.6149106592729513,0.08694236405079779,0.4910393589652674,0.7405217453929256
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.12,0.08,0.24,1,0.826865671641791,0.4526143790849673,0.003952569169960474,0.3049124788255223,0.388560157790927,0.15976331360946747,0.388560157790927,0.1946088099934254,0.0,0.611439842209073,0.07489417127971344,0.47491837247604296,0.7334941600560743
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,0.12,0.12,0.36,1,0.7610241820768137,0.4321486268174475,0.003952569169960474,0.29700734048560135,0.39933554817275746,0.16943521594684385,0.39933554817275746,0.11827242524916944,0.0,0.6006644518272425,0.06545099316183653,0.48176107634633636,0.7558073110332119
