anchor,anchor_family,window_size,phase,length,memory_capacity,perturbation,phase_lag,window_beta,delay_steps,noise_amp,alpha_cutoff_q,effective_offset,direct_best_offset,match_distance,derived_tradeoff,direct_best_tradeoff,tradeoff_gap_to_direct_best,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
silver,metallic_anchor,0.2,0.17,5000,400,delay_3,0.0,0.0,3,0.0,0,-0.03199999999999996,-0.011999999999999941,0.3176,0.5597041932859494,0.5961499917786546,-0.03644579849270513,0.5597041932859494,0.6140855830798588,0.7759651501116105,0.000906059632049155,0.32642058021020587,10.25,4127.75,872.25,0.0,0.9488644834312162,0.26257723638167607
silver,metallic_anchor,0.2,0.17,5000,400,delay_8,0.0,0.0,8,0.0,0,0.0320000000000001,-0.011999999999999941,0.316,0.5611591155187805,0.5961499917786546,-0.03499087625987407,0.5611591155187805,0.6155021349902866,0.7756708186462998,0.001611109010727468,0.32496738690754107,13.25,4125.75,874.25,0.0,0.9442114496618407,0.26151393142596696
silver,metallic_anchor,0.2,0.17,5000,400,noise_small,0.0,0.0,0,0.0015,0,6.938893903907228e-17,-0.011999999999999941,0.0012,0.5592135897518246,0.5961499917786546,-0.03693640202683002,0.5592135897518246,0.6136269489240566,0.7758188624076348,0.0006629853865368833,0.32709239793961487,10.25,4126.25,872.25,1.5,0.9511628571638739,0.26291791632386685
silver,metallic_anchor,0.2,0.17,5000,400,noise_big,0.0,0.0,0,0.0045,0,6.938893903907228e-17,-0.011999999999999941,0.0044,0.5762898605435929,0.5961499917786546,-0.019860131235061695,0.5762898605435929,0.614112966554026,0.8445733526504762,0.0006539831822304955,0.3261738057433182,10.5,4178.5,820.0,1.5,0.9508126248005243,0.2595696712806362
silver,metallic_anchor,0.2,0.17,5000,400,cutoff_34,0.0,0.0,0,0.0,34,0.07600000000000014,-0.011999999999999941,0.3134,0.5166837105422437,0.5961499917786546,-0.07946628123641086,0.5166837105422437,0.5406642378276457,0.9146757679180888,0.017410709359334496,0.5475740493810061,10.5,4388.5,610.5,1.0,0.9911524109348995,0.25935173836507897
silver,metallic_anchor,0.2,0.17,5000,400,cutoff_55,0.0,0.0,0,0.0,55,0.004000000000000073,-0.011999999999999941,0.166,0.5227945179350775,0.5961499917786546,-0.0733554738435771,0.5227945179350775,0.5803467417461826,0.7616807457300193,0.0004962428696796841,0.4250446780500101,11.0,4073.0,926.0,1.0,0.9801248457518983,0.4297206905915809
silver,metallic_anchor,0.2,0.17,5000,400,combo_small,0.018,0.004,3,0.0015,34,-0.072,-0.011999999999999941,0.3162,0.5820829921887379,0.5961499917786546,-0.01406699958991664,0.5820829921887379,0.5947043796359371,1.0,0.06924092760768624,0.37460852236434944,11.0,4591.0,409.0,0.0,0.9638993510960656,0.379739574980756
silver,metallic_anchor,0.2,0.17,5000,400,combo_big,0.045,0.011,8,0.0045,55,-0.015999999999999945,-0.011999999999999941,0.3084,0.5893720691750218,0.5961499917786546,-0.006777922603632747,0.5893720691750218,0.5998533518306957,0.9982578397212544,0.06410316242966257,0.3590128272406832,11.0,4616.5,382.5,1.0,0.9507052641679231,0.39017166969669836
silver,metallic_anchor,0.382,0.0,5000,50,phase_small,0.015,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.03,0.6028132424501769,0.6312929336316631,-0.02847969118148619,0.6028132424501769,0.648381486144859,0.8333333333333334,0.0006854592963915797,0.37653739323816837,10.0,4285.0,714.0,1.0,0.9617622315594407,0.450098523122514
silver,metallic_anchor,0.382,0.0,5000,50,phase_big,0.045,0.0,0,0.0,0,6.938893903907228e-17,-0.011999999999999941,0.09,0.6031154705438708,0.6312929336316631,-0.02817746308779223,0.6031154705438708,0.6488562425427347,0.8326291079812207,0.0009204535427343207,0.3765475994228494,10.0,4285.0,715.0,0.0,0.9617622315594407,0.4501393478612381
