anchor,anchor_family,alpha,offset,window_size,phase,length,memory_capacity,mean_tradeoff,max_tradeoff,mean_retention,mean_pollution,mean_phase_lock,mean_diversity,mean_write,mean_witness,mean_release,autocorr_peak,spectral_peak
golden,phi_anchor,0.666033988749895,0.04800000000000011,0.2,0.0,5000,50,0.4589895700223268,0.4589895700223268,1.0,0.012457303596544103,0.6015538717678821,10.0,4977.0,23.0,0.0,0.9864615654531146,0.41975392161841374
golden,phi_anchor,0.670033988749895,0.052000000000000116,0.2,0.0,5000,50,0.5529458011621928,0.5529458011621928,1.0,0.06229575163398693,0.349437033037882,10.0,4896.0,104.0,0.0,0.956257953902715,0.2825312192898542
golden,phi_anchor,0.674033988749895,0.05600000000000012,0.2,0.0,5000,50,0.548876585042249,0.5675323639367215,1.0,0.10469011725293131,0.36248301970445024,10.0,4776.0,224.0,0.0,0.9550527566177546,0.40650411140151677
golden,phi_anchor,0.678033988749895,0.06000000000000012,0.2,0.0,5000,50,0.561521215359995,0.5805996999133171,1.0,0.10317657512441242,0.3519196871035662,9.75,4613.25,386.75,0.0,0.9610271861808162,0.36908419288203714
golden,phi_anchor,0.682033988749895,0.06400000000000013,0.2,0.0,5000,50,0.5962751363451615,0.5997675343737653,1.0,0.0010600595945365367,0.3240800816159383,8.75,4248.0,752.0,0.0,0.9648728527982857,0.2579238447193404
golden,phi_anchor,0.686033988749895,0.06800000000000013,0.2,0.0,5000,50,0.5407519525082509,0.5796205419004292,0.8439817333811485,0.00104047672974987,0.39872816611226003,9.5,4132.75,862.25,5.0,0.9718575945046958,0.437426119065727
golden,phi_anchor,0.690033988749895,0.07200000000000013,0.2,0.0,5000,50,0.5911531665627231,0.6088360618982618,0.9263212694352554,0.0009313154831199069,0.3454186087479717,10.0,4295.0,705.0,0.0,0.9557414067049762,0.26697406932795154
golden,phi_anchor,0.694033988749895,0.07600000000000014,0.2,0.0,5000,50,0.4853943422446996,0.5237655226533838,0.48245794583884455,0.000997580731394354,0.3617149476758121,9.5,4027.25,972.75,0.0,0.9641424299671469,0.3634349238543817
golden,phi_anchor,0.698033988749895,0.08000000000000014,0.2,0.0,5000,50,0.40200264076484465,0.42486231943823216,0.10400000842659546,0.0006720802383650174,0.35766750865252345,8.5,3657.75,1341.25,1.0,0.9604780933465671,0.40762653499167156
golden,phi_anchor,0.5380339887498948,-0.08,0.2,0.0,5000,100,0.3950227568609619,0.4524934523684805,0.17419421594495318,0.0010103576320050177,0.3560733055266269,9.0,3859.75,830.75,309.5,0.9613932509785692,0.3762546434850114
