flow,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,rewrite_drift_rate,score
random_cf_1,related_balanced,0.8418604651162791,0.45707070707070707,0.01646542261251372,0.1141602634467618,0.8882138517618469,0.2709599027946537,0.8882138517618469,0.0692588092345079,0.0,0.1117861482381531,1.7734375,0.17350260416666666,0.2545572916666667,0.1474609375,0.08661673721914685,0.609744447138237,0.0,0.7856322975906825
random_cf_1,random_balanced,0.8477751756440282,0.458808618504436,0.013172338090010977,0.1207464324917673,0.893719806763285,0.25120772946859904,0.893719806763285,0.0785024154589372,0.0,0.10628019323671498,1.7734375,0.17350260416666666,0.2542317708333333,0.14778645833333334,0.08726799088244871,0.60784894028223,0.0,0.7800273659018181
random_cf_1,related_rigid,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0,0.7816213058153001
random_cf_1,random_overplastic,0.8652482269503546,0.46387832699619774,0.007683863885839737,0.12623490669593854,0.8907766990291263,0.26941747572815533,0.8907766990291263,0.0825242718446602,0.0,0.10922330097087378,1.7734375,0.17350260416666666,0.2552083333333333,0.14811197916666666,0.08661673721914685,0.6097606807665494,0.0,0.7845161677771895
fib_13_21,related_balanced,0.7181208053691275,0.41796875,0.002129925452609159,0.1799787007454739,0.990909090909091,0.2,0.990909090909091,0.07272727272727272,0.0,0.00909090909090909,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.09605991533702377,0.3820529405125036,0.0,0.6991598993616894
fib_13_21,random_balanced,0.7225950782997763,0.41948051948051945,0.0010649627263045794,0.17891373801916932,0.9909208819714657,0.21530479896238652,0.9909208819714657,0.07522697795071336,0.0,0.009079118028534372,3.0533854166666665,0.3050130208333333,0.2789713541666667,0.0,0.09671116900032563,0.3816748551861462,0.0,0.7008314783321142
fib_13_21,related_rigid,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0,0.7086363971520944
fib_13_21,random_overplastic,0.7100456621004566,0.4152202937249666,0.0010649627263045794,0.2012779552715655,0.9892328398384926,0.2180349932705249,0.9892328398384926,0.09421265141318977,0.0,0.010767160161507403,3.0533854166666665,0.3050130208333333,0.2779947916666667,0.0,0.09312927385216542,0.3823653545895458,0.0,0.6927868244434959
pi_mod1,related_balanced,0.8879492600422833,0.47032474804031354,0.004282655246252677,0.03961456102783726,0.9630952380952381,0.26785714285714285,0.9630952380952381,0.007142857142857143,0.0,0.036904761904761905,3.037109375,0.2740885416666667,0.2835286458333333,0.11751302083333333,0.13187886681862585,0.5306150696049929,0.0,0.7933299005594054
pi_mod1,random_balanced,0.8778947368421053,0.4674887892376682,0.004282655246252677,0.04068522483940043,0.9651860744297719,0.27130852340936373,0.9651860744297719,0.008403361344537815,0.0,0.03481392557022809,3.037109375,0.2740885416666667,0.2825520833333333,0.1171875,0.131227613155324,0.5306228244599798,0.0,0.791180104784375
pi_mod1,related_rigid,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0,0.7894763062032037
pi_mod1,random_overplastic,0.8792372881355932,0.46786922209695603,0.0032119914346895075,0.047109207708779445,0.9652694610778443,0.26467065868263473,0.9652694610778443,0.013173652694610778,0.0,0.03473053892215569,3.037109375,0.2740885416666667,0.2838541666666667,0.1171875,0.12732009117551285,0.5320280260306269,0.0,0.789272534150485
