anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping
bronze,metallic_anchor,counter_triple,0.18,0.13,0.029,2048,64,0.011999999999999983,0.3147756377319946,0.8709930385067683,0.7990393234205327,0.8954918032786885,0.05439330543933055,0.94970703125
bronze,metallic_anchor,counter_triple,0.24,0.0,0.011,2048,64,-0.01800000000000001,0.28477563773199455,0.8769379157277577,0.8156082497166827,0.8818897637795275,0.0,0.9560546875
bronze,metallic_anchor,counter_triple,0.24,0.0,0.029,2048,64,0.05399999999999997,0.35677563773199455,0.8677418328364951,0.8447748174350596,0.8703703703703703,0.07894736842105263,0.95947265625
bronze,metallic_anchor,counter_triple,0.24,0.13,0.011,2048,64,-0.01800000000000001,0.28477563773199455,0.8769379157277577,0.8156082497166827,0.8818897637795275,0.0,0.9560546875
bronze,metallic_anchor,counter_triple,0.24,0.13,0.029,2048,64,0.05399999999999997,0.35677563773199455,0.8677418328364951,0.8447748174350596,0.8703703703703703,0.07894736842105263,0.95947265625
bounded_probe,bounded_anchor,counter_double,0.18,0.0,0.011,2048,64,-0.048,0.31803125000000004,0.8516662114529288,0.6929282085881538,0.8837719298245614,0.03508771929824561,0.96923828125
bounded_probe,bounded_anchor,counter_double,0.18,0.0,0.029,2048,64,-0.054,0.31203125000000004,0.8499675250472946,0.6775327022138957,0.8698224852071006,0.009389671361502348,0.97412109375
bounded_probe,bounded_anchor,counter_double,0.18,0.13,0.011,2048,64,-0.048,0.31803125000000004,0.8516662114529288,0.6929282085881538,0.8837719298245614,0.03508771929824561,0.96923828125
bounded_probe,bounded_anchor,counter_double,0.18,0.13,0.029,2048,64,-0.054,0.31203125000000004,0.8499675250472946,0.6775327022138957,0.8698224852071006,0.009389671361502348,0.97412109375
bounded_probe,bounded_anchor,counter_double,0.24,0.0,0.011,2048,64,-0.042,0.32403125000000005,0.8258046510974729,0.6554272934438328,0.9214402618657938,0.12633451957295375,0.9716796875
bounded_probe,bounded_anchor,counter_double,0.24,0.0,0.029,2048,64,-0.054,0.31203125000000004,0.8382012166237917,0.6605198704673274,0.8983050847457628,0.050359712230215826,0.9775390625
bounded_probe,bounded_anchor,counter_double,0.24,0.13,0.011,2048,64,-0.042,0.32403125000000005,0.8258046510974729,0.6554272934438328,0.9214402618657938,0.12633451957295375,0.9716796875
bounded_probe,bounded_anchor,counter_double,0.24,0.13,0.029,2048,64,-0.054,0.31203125000000004,0.8382012166237917,0.6605198704673274,0.8983050847457628,0.050359712230215826,0.9775390625
bounded_probe,bounded_anchor,counter_triple,0.18,0.0,0.011,2048,64,0.04799999999999997,0.41403125,0.877148316825207,0.8576580026366087,0.8097826086956522,0.0,0.9501953125
bounded_probe,bounded_anchor,counter_triple,0.18,0.0,0.029,2048,64,-0.054,0.31203125000000004,0.8733564321692399,0.8288833780111157,0.8723849372384938,0.05555555555555555,0.9521484375
bounded_probe,bounded_anchor,counter_triple,0.18,0.13,0.011,2048,64,0.04799999999999997,0.41403125,0.877148316825207,0.8576580026366087,0.8097826086956522,0.0,0.9501953125
bounded_probe,bounded_anchor,counter_triple,0.18,0.13,0.029,2048,64,-0.054,0.31203125000000004,0.8733564321692399,0.8288833780111157,0.8723849372384938,0.05555555555555555,0.9521484375
bounded_probe,bounded_anchor,counter_triple,0.24,0.0,0.011,2048,64,0.04799999999999997,0.41403125,0.8738593384705713,0.833854830157673,0.8509485094850948,0.0,0.95263671875
bounded_probe,bounded_anchor,counter_triple,0.24,0.0,0.029,2048,64,-0.054,0.31203125000000004,0.8759953832886171,0.8399247546426796,0.9099616858237548,0.06853582554517133,0.9521484375
bounded_probe,bounded_anchor,counter_triple,0.24,0.13,0.011,2048,64,0.04799999999999997,0.41403125,0.8738593384705713,0.833854830157673,0.8509485094850948,0.0,0.95263671875
bounded_probe,bounded_anchor,counter_triple,0.24,0.13,0.029,2048,64,-0.054,0.31203125000000004,0.8759953832886171,0.8399247546426796,0.9099616858237548,0.06853582554517133,0.9521484375
random_bad_cf,random_bounded_cf,counter_double,0.18,0.0,0.011,2048,64,-0.006000000000000012,0.2616970206743289,0.8364691169321985,0.5535465406318893,0.9486166007905138,0.004201680672268907,0.9736328125
random_bad_cf,random_bounded_cf,counter_double,0.18,0.0,0.029,2048,64,0.04799999999999997,0.31569702067432887,0.8475178692706843,0.6591076210038356,0.8766233766233766,0.0,0.9697265625
random_bad_cf,random_bounded_cf,counter_double,0.18,0.13,0.011,2048,64,-0.006000000000000012,0.2616970206743289,0.8364691169321985,0.5535465406318893,0.9486166007905138,0.004201680672268907,0.9736328125
random_bad_cf,random_bounded_cf,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.31569702067432887,0.8475178692706843,0.6591076210038356,0.8766233766233766,0.0,0.9697265625
random_bad_cf,random_bounded_cf,counter_double,0.24,0.0,0.011,2048,64,0.05999999999999997,0.3276970206743288,0.8195443913070438,0.6626049665340568,0.8686006825938567,0.10320284697508897,0.96923828125
random_bad_cf,random_bounded_cf,counter_double,0.24,0.0,0.029,2048,64,0.035999999999999976,0.30369702067432885,0.8385072617026385,0.5688344356773127,0.9697885196374623,0.0,0.9716796875
random_bad_cf,random_bounded_cf,counter_double,0.24,0.13,0.011,2048,64,0.05999999999999997,0.3276970206743288,0.8195443913070438,0.6626049665340568,0.8686006825938567,0.10320284697508897,0.96923828125
random_bad_cf,random_bounded_cf,counter_double,0.24,0.13,0.029,2048,64,0.035999999999999976,0.30369702067432885,0.8385072617026385,0.5688344356773127,0.9697885196374623,0.0,0.9716796875
random_bad_cf,random_bounded_cf,counter_triple,0.18,0.0,0.011,2048,64,-0.054,0.21369702067432889,0.8809784332333317,0.8590998306647268,0.8248730964467005,0.0,0.94921875
random_bad_cf,random_bounded_cf,counter_triple,0.18,0.0,0.029,2048,64,0.035999999999999976,0.30369702067432885,0.880870875025202,0.8665356827705908,0.8851351351351351,0.08502024291497975,0.951171875
random_bad_cf,random_bounded_cf,counter_triple,0.18,0.13,0.011,2048,64,-0.054,0.21369702067432889,0.8809784332333317,0.8590998306647268,0.8248730964467005,0.0,0.94921875
random_bad_cf,random_bounded_cf,counter_triple,0.18,0.13,0.029,2048,64,0.035999999999999976,0.30369702067432885,0.880870875025202,0.8665356827705908,0.8851351351351351,0.08502024291497975,0.951171875
random_bad_cf,random_bounded_cf,counter_triple,0.24,0.0,0.011,2048,64,-0.054,0.21369702067432889,0.8723371536623078,0.829928809790309,0.8456057007125891,0.0,0.95361328125
random_bad_cf,random_bounded_cf,counter_triple,0.24,0.0,0.029,2048,64,0.041999999999999975,0.30969702067432886,0.8745703186615212,0.8448949646171076,0.91015625,0.0755287009063444,0.94580078125
random_bad_cf,random_bounded_cf,counter_triple,0.24,0.13,0.011,2048,64,-0.054,0.21369702067432889,0.8723371536623078,0.829928809790309,0.8456057007125891,0.0,0.95361328125
random_bad_cf,random_bounded_cf,counter_triple,0.24,0.13,0.029,2048,64,0.041999999999999975,0.30969702067432886,0.8745703186615212,0.8448949646171076,0.91015625,0.0755287009063444,0.94580078125
