anchor,anchor_family,band_mode,window_width,phase,beta,length,memory_capacity,hotspot_offset,hotspot_alpha,hotspot_score,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,perturbation,phase_lag,delay_steps,noise_amp,beta_scale,zip_threshold_delta,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.5838739746994808,0.8291139240506329,0.012711864406779662,0.97119140625,combo_small,0.012,3,0.0014,1.08,0.015,0.740234375,0.328125,236.0,1681.0,131.0,0.14661317774417987,42.0,0.7254652155552291,0.14412066550228944,0.8133867130566506
golden,phi_anchor,counter_double,0.18,0.13,0.011,2048,64,0.035999999999999976,0.6540339887498947,0.8447550524967988,0.502322036803871,0.8739669421487604,0.011450381679389313,0.974609375,combo_big,0.028,7,0.0036,1.18,0.03,0.7314453125,0.40625,262.0,1760.0,26.0,0.1568648482064064,39.0,0.8855183142469082,0.16481541835560778,0.8015496600849086
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7232510331077027,0.8174273858921162,0.0,0.974609375,phase_small,0.01,0,0.0,1.0,0.0,0.73388671875,0.359375,0.0,2046.0,2.0,0.14871263510486094,223.0,0.6458658864082626,0.11436688563664976,0.8523256743842647
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7307151401943854,0.7743362831858407,0.0,0.97216796875,phase_big,0.028,0,0.0,1.0,0.0,0.7333984375,0.359375,0.0,2044.0,4.0,0.14895918575921963,223.0,0.6208791208791209,0.11700555866672345,0.8435464159690298
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7319307848923831,0.8185840707964602,0.0,0.97509765625,delay_3,0.0,3,0.0,1.0,0.0,0.73388671875,0.375,1.0,2044.0,3.0,0.1492278849724401,223.0,0.6183352346875322,0.11563713819843655,0.8551312655110178
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.728622575548324,0.7955555555555556,0.0,0.97216796875,delay_7,0.0,7,0.0,1.0,0.0,0.732421875,0.359375,0.0,2044.0,4.0,0.14823325949375987,223.0,0.6277372262773723,0.11611554587979359,0.8479749982368642
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7296752680428988,0.8122270742358079,0.0,0.9736328125,noise_small,0.0,0,0.0014,1.0,0.0,0.73388671875,0.359375,0.0,2046.0,2.0,0.14894390497705523,223.0,0.6238528582593296,0.11679760765313137,0.8526810728686056
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7269253490802687,0.8097345132743363,0.0,0.97412109375,noise_big,0.0,0,0.0036,1.0,0.0,0.7314453125,0.359375,0.0,2046.0,2.0,0.1491072911549188,223.0,0.6290895295149308,0.11963377824149855,0.8512152246783159
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.6794384902806905,0.637223974763407,0.0,0.9716796875,beta_loosen,0.0,0,0.0,0.82,0.0,0.73291015625,0.328125,0.0,1876.0,172.0,0.14863779561287738,232.0,0.7659979018100231,0.12429535437205876,0.796145281221811
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.5200945342600247,0.7478260869565218,0.0,0.97607421875,beta_tighten,0.0,0,0.0,1.18,0.0,0.73681640625,0.328125,0.0,2044.0,4.0,0.1487773833237141,30.0,0.755105429304296,0.14853564581453987,0.7792648867123722
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7262128522490794,0.8223140495867769,0.0,0.9736328125,zip_soft,0.0,0,0.0,1.0,-0.03,0.720703125,0.328125,0.0,1965.0,83.0,0.1487188657146325,223.0,0.6346153846153846,0.11624541363461299,0.8530777830305686
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.7316196974866314,0.79,0.0,0.9716796875,zip_hard,0.0,0,0.0,1.0,0.03,0.744140625,0.359375,0.0,2046.0,2.0,0.1487188657146325,223.0,0.6183206106870229,0.11658502441620093,0.8483207027962569
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.6986015822228098,0.7732558139534884,0.0,0.97216796875,combo_small,0.012,3,0.0014,1.08,0.015,0.73583984375,0.375,1.0,2043.0,4.0,0.1504626390705457,208.0,0.6820620648353295,0.1470234476935656,0.834490619621224
golden,phi_anchor,counter_double,0.18,0.13,0.029,2048,64,0.04799999999999997,0.6660339887498947,0.8509463476569602,0.5195583592699824,0.7014925373134329,0.0,0.9716796875,combo_big,0.028,7,0.0036,1.18,0.03,0.740234375,0.328125,0.0,2044.0,4.0,0.14916311624587236,30.0,0.7575550932011103,0.1491811273041058,0.767389237050819
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6595809897759783,0.8512820512820513,0.09982174688057041,0.97265625,phase_small,0.01,0,0.0,1.0,0.0,0.65625,0.53125,561.0,1485.0,2.0,0.19028929039396547,228.0,0.7784056977451782,0.16828510967645272,0.8160572700688522
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6625628322928891,0.846551724137931,0.1079136690647482,0.97216796875,phase_big,0.028,0,0.0,1.0,0.0,0.6572265625,0.484375,556.0,1490.0,2.0,0.18987115726770837,228.0,0.7720716547232347,0.16563024747270755,0.8141189917721628
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6636269586640382,0.849912739965096,0.10215053763440861,0.97216796875,delay_3,0.0,3,0.0,1.0,0.0,0.65576171875,0.5,558.0,1486.0,4.0,0.19098974214227102,228.0,0.7687913947020105,0.16554461768065828,0.8162590297406721
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6660629239876448,0.8554216867469879,0.10535714285714286,0.97265625,delay_7,0.0,7,0.0,1.0,0.0,0.65478515625,0.53125,560.0,1484.0,4.0,0.191606518657518,228.0,0.7680407830066062,0.15929097712993914,0.8176414574643891
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.6626197619502106,0.8464223385689355,0.10108303249097472,0.97216796875,noise_small,0.0,0,0.0014,1.0,0.0,0.65625,0.5,554.0,1490.0,4.0,0.19053677339402236,228.0,0.7712927480555829,0.1661949874934382,0.8153918818544085
golden,phi_anchor,counter_double,0.24,0.0,0.011,2048,64,0.041999999999999975,0.6600339887498947,0.8146601103239833,0.661945668363844,0.8513986013986014,0.09892086330935251,0.9755859375,noise_big,0.0,0,0.0036,1.0,0.0,0.65576171875,0.484375,556.0,1488.0,4.0,0.19064930494956084,228.0,0.7744506844984186,0.16510270948465855,0.8174744038156703
