anchor,anchor_family,alpha,offset,band_mode,window_width,phase,beta,length,memory_capacity,phase_lock_resistance,delayed_retention,pollution,rigidity_after_zipping,zero_share,memory_load,write_count,witness_count,release_count,zipper_energy,approx_period,autocorr_peak,spectral_peak,composite_score
golden,phi_anchor,0.6600339887498947,0.041999999999999975,counter_double,0.18,0.13,0.011,2048,64,0.6898801797874499,0.8383128295254832,0.10275689223057644,0.9716796875,0.734375,0.578125,399.0,1645.0,4.0,0.14900653015948212,228.0,0.7242647058823529,0.13148515382990725,0.8268960884804867
golden,phi_anchor,0.6660339887498947,0.04799999999999997,counter_double,0.18,0.13,0.011,2048,64,0.6908291178511039,0.8333333333333334,0.10922330097087378,0.97314453125,0.73388671875,0.53125,412.0,1634.0,2.0,0.14880344249053742,229.0,0.7302749863909678,0.125765019250633,0.8249273365541344
golden,phi_anchor,0.6720339887498947,0.05399999999999997,counter_double,0.18,0.13,0.011,2048,64,0.6607652619462732,0.8353982300884956,0.10199004975124377,0.9755859375,0.73583984375,0.5625,402.0,1643.0,3.0,0.14923448080405183,183.0,0.7800375919540304,0.1466368678890384,0.8190962136159465
golden,phi_anchor,0.6780339887498947,0.05999999999999997,counter_double,0.18,0.13,0.011,2048,64,0.5202984214109783,0.9299820466786356,0.014285714285714285,0.9697265625,0.7197265625,0.421875,280.0,1739.0,29.0,0.15586715067823154,45.0,0.8868596576667394,0.1718157221342748,0.8175455438408037
golden,phi_anchor,0.5580339887498948,-0.06,counter_double,0.18,0.13,0.029,2048,64,0.5669672593163608,0.5359712230215827,0.06224066390041494,0.970703125,0.705078125,0.421875,241.0,1803.0,4.0,0.16768057083271182,155.0,0.9006622516556292,0.2845767607434301,0.7254826683536779
golden,phi_anchor,0.5640339887498947,-0.054,counter_double,0.18,0.13,0.029,2048,64,0.5890936636057678,0.5689655172413793,0.11864406779661017,0.97509765625,0.73681640625,0.46875,118.0,1926.0,4.0,0.14807584862615253,86.0,0.8998121914681425,0.1301118529183094,0.731733980138224
golden,phi_anchor,0.5700339887498947,-0.048,counter_double,0.18,0.13,0.029,2048,64,0.7215279971401873,0.8252788104089219,0.3114754098360656,0.97119140625,0.732421875,0.296875,61.0,1983.0,4.0,0.1494721342805978,207.0,0.5985306147463931,0.15101523819929205,0.7906317029801806
golden,phi_anchor,0.5760339887498948,-0.042,counter_double,0.18,0.13,0.029,2048,64,0.673492553853615,0.6649746192893401,0.0,0.97314453125,0.73486328125,0.34375,17.0,2013.0,18.0,0.14824683751220108,86.0,0.6500936969220852,0.15031620285694633,0.8015897924584539
golden,phi_anchor,0.5820339887498948,-0.036000000000000004,counter_double,0.18,0.13,0.029,2048,64,0.4018186680260327,0.4233576642335766,0.0,0.97021484375,0.736328125,0.234375,0.0,2045.0,3.0,0.1488891483654223,18.0,0.7814745758899506,0.11011375500732076,0.6670642852133476
golden,phi_anchor,0.5880339887498948,-0.030000000000000006,counter_double,0.18,0.13,0.029,2048,64,0.49227843209842226,0.3064516129032258,0.0,0.974609375,0.732421875,0.265625,0.0,2044.0,4.0,0.14854399866502666,34.0,0.8777372262773723,0.14703387967048248,0.6649019730843324
golden,phi_anchor,0.5940339887498948,-0.024000000000000007,counter_double,0.18,0.13,0.029,2048,64,0.5741048410145688,0.4444444444444444,0.0,0.97119140625,0.73291015625,0.265625,0.0,2044.0,4.0,0.1473610051895316,69.0,0.8775178123907886,0.1519527119104532,0.7202871159007459
golden,phi_anchor,0.6000339887498948,-0.01800000000000001,counter_double,0.18,0.13,0.029,2048,64,0.5106227404481911,0.6111111111111112,0.0,0.96337890625,0.736328125,0.265625,0.0,2044.0,4.0,0.14622041117475315,35.0,0.8629629629629629,0.12154096813019008,0.7412230652421602
golden,phi_anchor,0.6060339887498948,-0.01200000000000001,counter_double,0.18,0.13,0.029,2048,64,0.5587622521213411,0.631578947368421,0.0,0.97216796875,0.73388671875,0.265625,0.0,2044.0,4.0,0.14802096718467006,52.0,0.8678888712176088,0.128747141032519,0.7611769092123966
golden,phi_anchor,0.6120339887498948,-0.006000000000000012,counter_double,0.18,0.13,0.029,2048,64,0.6753601196502134,0.423728813559322,0.0,0.96728515625,0.73583984375,0.25,0.0,2011.0,37.0,0.14901212147919302,156.0,0.7190172199320046,0.15080012806157383,0.743119967506297
golden,phi_anchor,0.6180339887498948,-1.3877787807814457e-17,counter_double,0.18,0.13,0.029,2048,64,0.3058616748374172,0.5191489361702127,0.0,0.9736328125,0.73095703125,0.375,59.0,1985.0,4.0,0.15134317409056264,17.0,0.9346583424473709,0.14775663304037717,0.6634401386353279
golden,phi_anchor,0.6240339887498948,0.0059999999999999845,counter_double,0.18,0.13,0.029,2048,64,0.625323524052172,0.6728971962616822,0.06179775280898876,0.966796875,0.73388671875,0.328125,178.0,1866.0,4.0,0.1493755981983916,121.0,0.8697160495363184,0.1114972851207369,0.7762966757756141
golden,phi_anchor,0.6300339887498948,0.011999999999999983,counter_double,0.18,0.13,0.029,2048,64,0.6581509790991691,0.817174515235457,0.03669724770642202,0.97314453125,0.72998046875,0.359375,218.0,1826.0,4.0,0.14929399901758683,173.0,0.7811937288879317,0.14713252456600626,0.8260920520129926
golden,phi_anchor,0.6360339887498948,0.01799999999999998,counter_double,0.18,0.13,0.029,2048,64,0.7081471144958262,0.7914110429447853,0.00425531914893617,0.97314453125,0.7333984375,0.40625,235.0,1809.0,4.0,0.14906505050078223,206.0,0.6464816851108754,0.15094851246612812,0.8406695597857926
golden,phi_anchor,0.6420339887498948,0.02399999999999998,counter_double,0.18,0.13,0.029,2048,64,0.64926745343643,0.6125461254612546,0.008771929824561403,0.97216796875,0.7314453125,0.40625,228.0,1816.0,4.0,0.149273396134183,155.0,0.8181818181818182,0.12481895018329456,0.7800007898579893
golden,phi_anchor,0.6480339887498948,0.029999999999999978,counter_double,0.18,0.13,0.029,2048,64,0.6842642573414248,0.625531914893617,0.025380710659898477,0.97119140625,0.7314453125,0.40625,197.0,1847.0,4.0,0.1484017771635236,189.0,0.730903957653429,0.12987687620359473,0.7893994157480874
golden,phi_anchor,0.6540339887498947,0.035999999999999976,counter_double,0.18,0.13,0.029,2048,64,0.666670550296353,0.6691729323308271,0.08284023668639054,0.974609375,0.72607421875,0.5,169.0,1875.0,4.0,0.14656925512544589,224.0,0.7700810383449551,0.15100399779606072,0.7837090230050994
golden,phi_anchor,0.6600339887498947,0.041999999999999975,counter_double,0.18,0.13,0.029,2048,64,0.6293997870492376,0.5956521739130435,0.0,0.97265625,0.73291015625,0.390625,29.0,2017.0,2.0,0.1487080565818571,103.0,0.8117008624884792,0.13720262908549913,0.772352524612917
golden,phi_anchor,0.6660339887498947,0.04799999999999997,counter_double,0.18,0.13,0.029,2048,64,0.7286178920530864,0.8078602620087336,0.0,0.9716796875,0.73388671875,0.359375,0.0,2046.0,2.0,0.1487188657146325,223.0,0.6256886182182602,0.11822243318559914,0.8509463476569602
golden,phi_anchor,0.6720339887498947,0.05399999999999997,counter_double,0.18,0.13,0.029,2048,64,0.6911611821102022,0.675,0.0,0.96923828125,0.73095703125,0.34375,0.0,1967.0,81.0,0.14934877818043907,154.0,0.680563157714073,0.14351085982756243,0.8078493497408566
golden,phi_anchor,0.6780339887498947,0.05999999999999997,counter_double,0.18,0.13,0.029,2048,64,0.3707084977350106,0.6607142857142857,0.05813953488372093,0.9716796875,0.73095703125,0.40625,86.0,1958.0,4.0,0.1491238384272947,17.0,0.7803942249320235,0.1576149590720854,0.7035544009604874
golden,phi_anchor,0.5580339887498948,-0.06,counter_double,0.24,0.0,0.011,2048,64,0.634119220494507,0.7908496732026143,0.30201342281879195,0.970703125,0.65625,0.640625,149.0,1895.0,4.0,0.1899060278349767,181.0,0.8579539061806417,0.14418259823557286,0.7535952437433311
golden,phi_anchor,0.5640339887498947,-0.054,counter_double,0.24,0.0,0.011,2048,64,0.5458707224493484,0.7647058823529411,0.3939393939393939,0.9755859375,0.65478515625,0.453125,66.0,1978.0,4.0,0.19043242443098968,47.0,0.8684581677014377,0.13812884195775793,0.7050853352626446
golden,phi_anchor,0.5700339887498947,-0.048,counter_double,0.24,0.0,0.011,2048,64,0.6234443945926769,0.5892857142857143,0.288135593220339,0.97265625,0.65673828125,0.453125,59.0,1955.0,34.0,0.19030396201156513,136.0,0.8093902554760424,0.20031440224235814,0.7054361957704531
golden,phi_anchor,0.5760339887498948,-0.042,counter_double,0.24,0.0,0.011,2048,64,0.49877850075594266,0.559322033898305,0.03225806451612903,0.97216796875,0.65673828125,0.328125,31.0,1973.0,44.0,0.190591331186329,46.0,0.9402559884222826,0.18226791077798637,0.7144163116940314
golden,phi_anchor,0.5820339887498948,-0.036000000000000004,counter_double,0.24,0.0,0.011,2048,64,0.649149613681669,0.43902439024390244,0.0949367088607595,0.9755859375,0.65576171875,0.421875,158.0,1884.0,6.0,0.18949159310129016,91.0,0.7418420854640579,0.13847864678937932,0.7157185287172521
