prime_cutoff,coupling,rank,integer_length_key,length,coefficient_real,coefficient_imag,coefficient_abs
53,haar,2,2021,7.611347717403621,0.03537787420635341,-0.019342938006332508,0.0403205063717879
53,haar,3,1333,7.195187320178709,0.0014326609945005094,-0.03674969750553557,0.036777612541783224
53,haar,4,583,6.368187186350492,-0.01917619842517321,-0.027120890788806463,0.033215497937257886
53,haar,5,2279,7.731492029245684,0.01620098907699737,-0.02412213107802467,0.02905768839426825
53,haar,6,481,6.175867270105761,-0.027965651103637048,-0.0036366923248723638,0.02820112006137596
53,haar,7,713,6.569481420414296,0.023859120632098763,-0.011015194836423166,0.02627912012646931
53,haar,8,851,6.7464121285733745,0.014160263829379113,-0.02168125360747516,0.02589574925946877
53,haar,9,893,6.794586580876499,0.02252323841807437,0.010548399118966403,0.024870966865211182
53,haar,10,94,4.543294782270004,-0.007951924233478892,0.02352721081640235,0.024834708530893382
97,identity,1,6,1.791759469228055,0.0,0.0,0.0
97,identity,2,10,2.302585092994046,0.0,0.0,0.0
97,identity,3,14,2.6390573296152584,0.0,0.0,0.0
97,identity,4,22,3.091042453358316,0.0,0.0,0.0
97,identity,5,26,3.258096538021482,0.0,0.0,0.0
97,identity,6,34,3.5263605246161616,0.0,0.0,0.0
97,identity,7,38,3.6375861597263857,0.0,0.0,0.0
97,identity,8,46,3.828641396489095,0.0,0.0,0.0
97,identity,9,58,4.060443010546419,0.0,0.0,0.0
97,identity,10,62,4.127134385045092,0.0,0.0,0.0
97,dft,1,6,1.791759469228055,0.0005541112594929183,0.00010540754502120288,0.0005640479043877613
97,dft,2,10,2.302585092994046,0.0004667211348472937,0.00020120388734505426,0.000508243663999766
97,dft,3,15,2.70805020110221,-0.0002543241387108381,-0.0003994612990141807,0.0004735505220576853
97,dft,4,14,2.6390573296152584,0.00033568621459721985,0.0002364406760972549,0.0004105964295801143
97,dft,5,82,4.406719247264253,0.00039395863799462656,5.682883457874137e-05,0.00039803633614302
97,dft,6,86,4.454347296253507,0.000361607561340805,0.00015336169205605477,0.0003927847209466532
97,dft,7,74,4.30406509320417,0.0003824970872122929,-4.0411960467743034e-05,0.00038462598491877125
97,dft,8,21,3.044522437723423,0.00037031093300505196,-6.93871500552571e-05,0.0003767555755338769
97,dft,9,94,4.543294782270004,0.0002805516395646649,0.000227950430345751,0.00036148391548896714
97,dft,10,62,4.127134385045092,0.00033198387878607857,-0.00011907604317712816,0.0003526930674574863
97,haar,1,3007,8.008698182988528,-0.018350295125944327,-0.027732610697833577,0.033254037759749555
97,haar,2,6319,8.751316246773456,0.00782688678463028,-0.02643537271328058,0.027569713223562543
97,haar,3,5141,8.545002892055505,0.004966990920471715,-0.025779446225813976,0.026253587307522048
97,haar,4,129,4.859812404361672,-0.006777634559755502,-0.02450158184586155,0.025421719909853552
97,haar,5,5251,8.566173813637858,0.024499110773131726,0.004905015398189398,0.024985307777384978
97,haar,6,185,5.220355825078324,0.019442399844578646,0.014747627094004347,0.024402856730724842
97,haar,7,6497,8.77909581088053,0.005902780087510205,0.022894847209115277,0.02364353699196126
97,haar,8,1633,7.398174092970465,-0.005754555124369398,-0.022771779793672443,0.02348763205712561
97,haar,9,1909,7.554334823725748,-0.023312088000484038,0.0026103022241225093,0.02345777322431886
97,haar,10,2501,7.824445930877619,0.008605627995077853,0.021138414023132487,0.022823001130504984
193,identity,1,6,1.791759469228055,0.0,0.0,0.0
193,identity,2,10,2.302585092994046,0.0,0.0,0.0
193,identity,3,14,2.6390573296152584,0.0,0.0,0.0
193,identity,4,22,3.091042453358316,0.0,0.0,0.0
193,identity,5,26,3.258096538021482,0.0,0.0,0.0
193,identity,6,34,3.5263605246161616,0.0,0.0,0.0
193,identity,7,38,3.6375861597263857,0.0,0.0,0.0
193,identity,8,46,3.828641396489095,0.0,0.0,0.0
193,identity,9,58,4.060443010546419,0.0,0.0,0.0
193,identity,10,62,4.127134385045092,0.0,0.0,0.0
193,dft,1,6,1.791759469228055,0.000325509371400648,3.519108690091077e-05,0.00032740611397301736
193,dft,2,10,2.302585092994046,0.00030713425512012265,7.398970123160398e-05,0.0003159207599328265
193,dft,3,15,2.70805020110221,-0.0002994161294184302,-2.373551960002578e-05,0.00030035544517554083
193,dft,4,14,2.6390573296152584,0.0002709952050170632,0.00010366865677668788,0.0002901475340927833
193,dft,5,21,3.044522437723423,-1.6644734767671537e-05,0.00027021400950744454,0.00027072616816550165
193,dft,6,22,3.091042453358316,0.0002222190771301738,0.00011671153052102903,0.0002510037840295386
193,dft,7,35,3.5553480614894135,-0.00023028976150350604,5.9937965291141086e-05,0.00023796204305851745
193,dft,8,33,3.4965075614664802,0.00022981123364402002,6.988627953149726e-06,0.000229917472214823
193,dft,9,26,3.258096538021482,0.00017976636811400045,0.00012481600196437637,0.0002188492208148558
193,dft,10,39,3.6635616461296463,1.1370895223629907e-06,-0.0001995116874526648,0.0001995149277693067
193,haar,1,13943,9.54273286919502,0.03257121972559445,-0.0033139690387840193,0.03273937606618325
193,haar,2,29143,10.279970025719809,-0.02286323575737073,-0.011286442765351252,0.02549728102352612
193,haar,3,30301,10.318935994253193,-0.0024830359168812642,0.02519210642550075,0.025314179692778483
193,haar,4,13529,9.51259080860336,-0.004256257782951404,-0.02453435336563442,0.024900807725548812
193,haar,5,12127,9.403189650656792,-0.02099019967237211,-0.0023674961710419035,0.021123293313447797
193,haar,6,10561,9.264923249746474,-0.003732725706040545,0.020002643868954534,0.02034794837188163
193,haar,7,6059,8.70930004894499,-0.007586583714943557,0.018531340854075453,0.02002415656934825
193,haar,8,19511,9.878733688069898,-0.014543236552135397,0.01329687478573314,0.019705649151419317
193,haar,9,28103,10.243631611189063,0.011706355323408892,-0.01555909601696355,0.01947111254712978
193,haar,10,2323,7.750614732770409,-0.014608682087081316,0.01183799359561797,0.018802970102919977
193,identity,1,6,1.791759469228055,0.0,0.0,0.0
193,identity,2,10,2.302585092994046,0.0,0.0,0.0
193,identity,3,14,2.6390573296152584,0.0,0.0,0.0
193,identity,4,22,3.091042453358316,0.0,0.0,0.0
193,identity,5,26,3.258096538021482,0.0,0.0,0.0
193,identity,6,34,3.5263605246161616,0.0,0.0,0.0
193,identity,7,38,3.6375861597263857,0.0,0.0,0.0
193,identity,8,46,3.828641396489095,0.0,0.0,0.0
193,identity,9,58,4.060443010546419,0.0,0.0,0.0
193,identity,10,62,4.127134385045092,0.0,0.0,0.0
193,dft,1,6,1.791759469228055,0.00043469306897382485,4.185826824669876e-05,0.00043670376553734346
193,dft,2,10,2.302585092994046,0.00041134461442034946,9.19919617958868e-05,0.0004215055312183719
193,dft,3,15,2.70805020110221,0.00024457102159787324,0.0003176912764376174,0.0004009273397138065
193,dft,4,14,2.6390573296152584,0.000364534757017114,0.00013075748710838153,0.00038727652847600366
193,dft,5,21,3.044522437723423,-8.98509796395163e-05,-0.00035032971549543327,0.00036166850581892255
193,dft,6,22,3.091042453358316,0.00030138221515595403,0.0001472824778547665,0.00033544502961789367
193,dft,7,35,3.5553480614894135,-0.00020719481908182432,0.0002420048191897546,0.00031858440885488377
193,dft,8,33,3.4965075614664802,-4.176167859249968e-05,0.00030496758941402557,0.000307813691040319
193,dft,9,26,3.258096538021482,0.00024629433812647694,0.0001583832833246378,0.00029282446180237717
193,dft,10,39,3.6635616461296463,0.00013575205746808465,-0.00023069821476872488,0.0002676757131386687
193,haar,1,21809,9.990078007617226,-0.02228973255868158,0.025790911400269897,0.034088169331809554
193,haar,2,7373,8.90557995798965,0.0322328429080285,-0.004168363661483351,0.03250125255352504
193,haar,3,10519,9.260938424739274,-0.012965993877640263,-0.025292148176758216,0.028421994240906082
193,haar,4,13843,9.535534968687735,-0.008117668448204766,0.02534504777644203,0.02661330471446769
193,haar,5,4399,8.389132521348719,-0.015426261152415096,0.02090936571188231,0.02598405487247421
193,haar,6,19879,9.897419177134521,0.014341717193103941,0.02154431403024655,0.025881312159178705
193,haar,7,25159,10.132970964396517,0.02187048136616298,-0.013135717391827496,0.025512056494638797
193,haar,8,10001,9.210440366976517,0.01723719521068093,0.018527210326025438,0.025305699381678926
193,haar,9,13439,9.505916206547065,0.013452919499949189,-0.019683718115299165,0.023841765914350173
193,haar,10,18721,9.837401167408268,0.021607769725092596,-0.009666697342808221,0.023671517695536205
193,identity,1,6,1.791759469228055,0.0,0.0,0.0
193,identity,2,10,2.302585092994046,0.0,0.0,0.0
193,identity,3,14,2.6390573296152584,0.0,0.0,0.0
193,identity,4,22,3.091042453358316,0.0,0.0,0.0
193,identity,5,26,3.258096538021482,0.0,0.0,0.0
193,identity,6,34,3.5263605246161616,0.0,0.0,0.0
193,identity,7,38,3.6375861597263857,0.0,0.0,0.0
193,identity,8,46,3.828641396489095,0.0,0.0,0.0
193,identity,9,58,4.060443010546419,0.0,0.0,0.0
193,identity,10,62,4.127134385045092,0.0,0.0,0.0
193,dft,1,6,1.791759469228055,0.00026016629292345756,2.99760252653898e-05,0.0002618874988697353
193,dft,2,10,2.302585092994046,0.0002450530289163545,6.15909643136289e-05,0.0002526745611773421
193,dft,3,15,2.70805020110221,0.00017326820984082925,-0.00016632636641651484,0.00024017979246132758
193,dft,4,14,2.6390573296152584,0.00021564740329389748,8.562551106395811e-05,0.0002320248492993043
193,dft,5,21,3.044522437723423,7.691562259169317e-05,-0.00020228309555884498,0.0002164127162334427
193,dft,6,22,3.091042453358316,0.0001759497634058979,9.637295624047609e-05,0.0002006142216721441
193,dft,7,35,3.5553480614894135,-0.0001792298669656869,-6.316939479436193e-05,0.00019003609565349365
193,dft,8,33,3.4965075614664802,-1.6503506690269865e-05,-0.00018287005727077654,0.0001836132445639281
193,dft,9,26,3.258096538021482,0.00014144182128877865,0.00010275166578447801,0.00017482475119665367
193,dft,10,39,3.6635616461296463,-8.16019053701096e-05,-0.00013667574531441598,0.00015918269477956272
193,haar,1,28199,10.247041795304542,0.010164721693921144,-0.017756544164551493,0.020460117980660296
193,haar,2,22663,10.028488917698931,-0.013604616616585337,0.012244157945601136,0.018303141727066895
193,haar,3,9943,9.204624064980074,0.016542877438385815,-0.005989813483878063,0.017593881308940955
193,haar,4,18203,9.809341694645898,0.005340297721418037,-0.015847048539670668,0.01672267105375397
193,haar,5,12931,9.467382808295852,-0.0038887997540224505,-0.015582133159595158,0.016060063428587075
193,haar,6,19153,9.860214640302662,-0.010756688529994606,-0.011394258361811687,0.015669571524040887
193,haar,7,5699,8.648045999835,0.013929017520509457,0.006265932552578204,0.015273488135986443
193,haar,8,16637,9.719384409659742,-0.00786490163844997,0.012804566939681284,0.015027095936849274
193,haar,9,2993,8.0040315078527,-0.014790288347535712,-0.00159734392354385,0.014876294465132542
193,haar,10,14279,9.566545205430295,0.00985827254197894,0.010792851187116998,0.014617495485177642
