flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,layer_match_threshold,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,same_layer_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,8,0.72,0.08,0.42,2,0.36,0.9487485101311085,0.4868501529051988,0.003952569169960474,0.07284020327498589,0.13201911589008364,0.06929510155316607,0.13201911589008364,0.0,0.06033452807646356,0.044802867383512544,0.8679808841099164,0.11071312276131554,0.47084263620258027,0.5637803222500676
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,13,0.55,0.08,0.18,2,0.36,0.9500609013398295,0.4871955028107433,0.003952569169960474,0.09203839638622248,0.22621184919210055,0.07779772591262717,0.22621184919210055,0.024536205864751647,0.07360861759425494,0.06463195691202872,0.7737881508078994,0.10224682513839141,0.48332786394660276,0.6074540549122384
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,13,0.72,0.08,0.18,2,0.24,0.9245541838134431,0.4803991446899501,0.003952569169960474,0.20383963862224733,0.425,0.168125,0.425,0.016875,0.21125,0.08375,0.575,0.09443178117876913,0.48008195312432267,0.6416244106750971
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,13,0.72,0.08,0.42,2,0.24,0.9571603427172583,0.4890556597873671,0.003952569169960474,0.09316770186335403,0.13369304556354916,0.06115107913669065,0.13369304556354916,0.0,0.08573141486810551,0.04436450839328537,0.8663069544364509,0.10713122761315533,0.4037774412467049,0.5471294019359947
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,8,0.55,0.14,0.42,2,0.36,0.9308807134894092,0.4821016166281755,0.003952569169960474,0.018068887634105024,0.014797951052931132,0.011383039271485486,0.014797951052931132,0.0,0.005122367672168469,0.00910643141718839,0.9852020489470689,0.11169000325626832,0.45267637941892114,0.5248318607858692
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,13,0.55,0.08,0.18,2,0.24,0.9031476997578692,0.47455470737913485,0.003952569169960474,0.10841332580463016,0.19931662870159453,0.09453302961275627,0.19931662870159453,0.015945330296127564,0.10079726651480637,0.055239179954441914,0.8006833712984055,0.10126994464343862,0.481350076277664,0.5787468878557662
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,13,0.55,0.08,0.18,2,0.36,0.9414575866188769,0.4849230769230769,0.003952569169960474,0.07848673066064371,0.2333523050654525,0.12805919180421171,0.2333523050654525,0.024473534433693798,0.06089926010244735,0.06772908366533864,0.7666476949345475,0.10420058612829697,0.47845528922185254,0.616859062845786
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,21,0.55,0.14,0.3,2,0.36,0.9202733485193622,0.4792408066429419,0.003952569169960474,0.044042913608131,0.053500284575981785,0.040978941377347755,0.053500284575981785,0.014797951052931132,0.013659647125782584,0.02390438247011952,0.9464997154240182,0.11234125691957017,0.46160450870450853,0.5419617813035029
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,13,0.55,0.14,0.18,2,0.24,0.9176755447941889,0.47853535353535354,0.003952569169960474,0.10163749294184077,0.12976664769493454,0.09049516220830962,0.12976664769493454,0.0199203187250996,0.08821855435401252,0.04780876494023904,0.8702333523050655,0.10061869098013676,0.40014364097196164,0.5434708695448646
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.72,0.08,0.18,2,0.24,0.9335219236209336,0.48280907095830283,0.003952569169960474,0.22416713721061546,0.36228571428571427,0.20857142857142857,0.36228571428571427,0.017714285714285714,0.208,0.07942857142857143,0.6377142857142857,0.09443178117876913,0.4816727427299864,0.6278104318017482
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.72,0.08,0.42,2,0.24,0.9605911330049262,0.4899497487437186,0.003952569169960474,0.09712027103331451,0.12122936824132043,0.07683551508252703,0.12122936824132043,0.0,0.08480364257256688,0.0398406374501992,0.8787706317586795,0.10843373493975904,0.4032416655765091,0.5442325199243554
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,8,0.55,0.14,0.3,2,0.24,0.9105322763306908,0.47658565500889155,0.003952569169960474,0.043478260869565216,0.046153846153846156,0.03254437869822485,0.046153846153846156,0.01301775147928994,0.03431952662721893,0.0,0.9538461538461539,0.10973624226636275,0.4571792633709578,0.5330771424018771
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,8,0.72,0.08,0.42,2,0.36,0.9253731343283582,0.4806201550387597,0.003952569169960474,0.04912478825522304,0.15187611673615248,0.0768314472900536,0.15187611673615248,0.0,0.03513996426444312,0.0,0.8481238832638476,0.10875936177140996,0.4635231987618389,0.5866914188230574
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,8,0.55,0.08,0.18,2,0.36,0.9495192307692307,0.4870530209617756,0.003952569169960474,0.08018068887634106,0.23289315726290516,0.08163265306122448,0.23289315726290516,0.02581032412965186,0.06542617046818727,0.0,0.7671068427370948,0.10582872028655162,0.4797871955964702,0.6264727170877815
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,8,0.55,0.08,0.3,2,0.24,0.8949232585596222,0.4722741433021807,0.003952569169960474,0.08977978543195934,0.13237924865831843,0.08407871198568873,0.13237924865831843,0.015503875968992248,0.0900417412045319,0.0,0.8676207513416816,0.09801367632692934,0.47236709776908736,0.5586942643337034
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,13,0.55,0.08,0.18,2,0.24,0.9113001215066828,0.47679593134138587,0.003952569169960474,0.10784867306606437,0.2021531100478469,0.05861244019138756,0.2021531100478469,0.01674641148325359,0.10406698564593302,0.0,0.7978468899521531,0.10029306414848584,0.48449776950585866,0.5889624942515573
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,13,0.55,0.08,0.42,2,0.36,0.9268571428571428,0.48102016607354686,0.003952569169960474,0.044042913608131,0.08189910979228486,0.05637982195845697,0.08189910979228486,0.0,0.026706231454005934,0.0,0.9181008902077151,0.11006186909801367,0.46050931427601716,0.5547749042617607
