flow,family,alpha,offset,window_width,delay,prediction_gain,pocket_gain,pocket_decay,fit_limit,revision_threshold,write_threshold,rupture_limit,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,prediction_update_rate,mean_fit_error,mean_revision_size,mean_pocket_age,pollution,phase_lock_resistance,score
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.08,0.12,0.95,0.16,0.1,0.74,0.72,0.0,4.0,0.0,0.0,0.007590132827324478,0.9848197343453511,0.0,1.065519947120596,0.08524159576964771,3.75,0.0,0.6023336580534551,0.2823606024091412
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.08,0.12,0.95,0.16,0.1,0.74,0.72,0.0,4.0,0.0,0.0,0.007366482504604052,0.9852670349907919,0.0,0.7772854137066226,0.062182833096529805,5.25,0.0,0.582653175588143,0.269862098243563
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.08,0.12,0.95,0.16,0.1,0.74,0.72,0.0,2.0,0.0,0.0,0.00390625,0.9921875,0.0,1.0722643206263887,0.08578114565011109,18.5,0.0,0.5125438975435821,0.31257040155784477
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.08,0.12,0.95,0.16,0.1,0.74,0.72,0.0,3.0,0.0,0.0,0.0057361376673040155,0.988527724665392,0.0,1.0871229742834994,0.08696983794267994,1.0,0.0,0.6845841694585058,0.27257293040480424
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.08,0.12,0.95,0.16,0.1,0.74,0.72,0.0,6.0,0.0,0.0,0.010948905109489052,0.9781021897810219,0.0,1.0836511169587821,0.08669208935670256,1.0,0.0,0.5661885430498381,0.25167873904661886
golden,phi,0.5820339887498948,-0.036,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,3.0,0.0,0.0,0.005649717514124294,0.9887005649717514,0.0,1.2093311552945931,0.09674649242356745,3.3333333333333335,0.0,0.6049442386026611,0.2789715699792386
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.1752192158957329,0.09401753727165861,1.0,0.0,0.5936566834902719,0.25605127442664355
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.0019047619047619048,0.9961904761904762,0.0,1.181820309155688,0.09454562473245506,1.0,0.0,0.6011075802755896,0.25724063429087596
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,3.0,0.0,0.0,0.004497751124437781,0.9910044977511244,0.0,0.9085630450956513,0.0726850436076521,6.0,0.0,0.49674863436651595,0.2739642121188263
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,3.0,0.0,0.0,0.005714285714285714,0.9885714285714285,0.0,1.1922513851591154,0.09538011081272921,9.0,0.0,0.5090866390971363,0.3120927378946274
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,5.0,0.0,0.0,0.00946969696969697,0.9810606060606061,0.0,1.2137806894212428,0.0971024551536994,1.0,0.0,0.6845879131903614,0.2728722890207297
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.08,0.22,0.9,0.28,0.025,0.74,0.52,0.0,6.0,0.0,0.0,0.010889292196007259,0.9782214156079855,0.0,1.2016635979295736,0.09613308783436589,2.8333333333333335,0.0,0.5669350029732574,0.26810462909605204
golden,phi,0.5820339887498948,-0.036,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.0018867924528301887,0.9962264150943396,0.0,1.4340224634683234,0.20076314488556526,1.0,0.0,0.6051215882136562,0.2579617181635734
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4018035781246485,0.1962525009374508,0.0,0.0,0.5946827591831039,0.24704289665295873
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.0019011406844106464,0.9961977186311787,0.0,1.400238105608401,0.19603333478517612,1.0,0.0,0.6005710354431495,0.25714376652340865
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.0,0.9984939759036144,0.0,1.109837817508756,0.15537729445122583,17.0,0.0,0.49652490662612403,0.30943472415655776
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4248855978033428,0.199483983692468,0.0,0.0,0.5062138688003066,0.2311184963840552
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.0019047619047619048,0.9961904761904762,0.0,1.4320551010390423,0.20048771414546596,7.0,0.0,0.6853415674132529,0.3257360853089887
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.14,0.34,0.9,0.44,0.025,0.74,0.52,0.0,1.0,0.0,0.0,0.001834862385321101,0.9963302752293578,0.0,1.4327727879913246,0.2005881903187855,8.0,0.0,0.5663048793762913,0.31319277838966925
golden,phi,0.5820339887498948,-0.036,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0018867924528301887,0.9962264150943396,0.0,1.4340224634683234,0.20076314488556526,1.0,0.0,0.6051215882136562,0.2579617181635734
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4100819902555202,0.19741147863577285,0.0,0.0,0.5953144787075448,0.2471566061673581
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0019011406844106464,0.9961977186311787,0.0,1.400238105608401,0.19603333478517612,1.0,0.0,0.6005710354431495,0.25714376652340865
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0,0.9984939759036144,0.0,1.109837817508756,0.15537729445122583,17.0,0.0,0.49652490662612403,0.30943472415655776
golden,phi,0.6300339887498948,0.012000000000000004,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4277773538500824,0.19988882953901152,0.0,0.0,0.5065584496050233,0.2311805209289042
golden,phi,0.6420339887498948,0.024000000000000004,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0,0.9980916030534351,0.0,1.4320551010390423,0.20048771414546596,11.0,0.0,0.6852586773038587,0.34342289779255714
golden,phi,0.6540339887498948,0.036000000000000004,0.14,2,0.14,0.34,0.985,0.44,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0,0.9981617647058824,0.0,1.4327727879913246,0.2005881903187855,10.0,0.0,0.5661701052878558,0.32198414836357875
golden,phi,0.5820339887498948,-0.036,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,3.0,0.0,0.0,0.005639097744360902,0.9887218045112782,0.0,1.235068643864806,0.049402745754592234,3.0,0.0,0.6050374386717665,0.23777796564037382
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,2.0,0.0,0.0,0.0038022813688212928,0.9923954372623575,0.0,1.2100197643331099,0.048400790573324394,1.0,0.0,0.5939751074400992,0.21660957895426794
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0019083969465648854,0.9961832061068703,0.0,1.2370968951167114,0.049483875804668453,1.0,0.0,0.6011075802755896,0.2190957698500558
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,1.0,0.0,0.0,0.0,0.9984802431610942,0.0,0.923765054655156,0.036950602186206244,25.0,0.0,0.4996261293002885,0.25618174628036594
golden,phi,0.6300339887498948,0.012000000000000004,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,3.0,0.0,0.0,0.0038240917782026767,0.9904397705544933,0.0,1.2086976649059917,0.048347906596239665,13.333333333333334,0.0,0.5089002791017336,0.2724193426614319
golden,phi,0.6420339887498948,0.024000000000000004,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,5.0,0.0,0.0,0.00946969696969697,0.9810606060606061,0.0,1.2276155888766935,0.049104623555067735,1.0,0.0,0.6847380265481398,0.23428008886896448
golden,phi,0.6540339887498948,0.036000000000000004,0.14,5,0.04,0.12,0.985,0.28,0.055,0.58,0.72,0.0,6.0,0.0,0.0,0.009107468123861567,0.9799635701275046,0.0,1.2592599118521752,0.05037039647408701,3.5,0.0,0.5671668246299766,0.23696559233201547
golden,phi,0.5820339887498948,-0.036,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,2.0,0.0,0.0,0.003816793893129771,0.9923664122137404,0.0,1.1035359954056896,0.04414143981622759,27.5,0.0,0.6062000562871317,0.2845981534134186
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,3.0,0.0,0.0,0.0057361376673040155,0.988527724665392,0.0,1.097808247619252,0.043912329904770085,10.0,0.0,0.5944419436739714,0.2823488532556618
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,2.0,0.0,0.0,0.0019230769230769232,0.9942307692307693,0.0,1.0983070044924281,0.043932280179697115,35.5,0.0,0.6032870201663854,0.28373778308534
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,1.0,0.0,0.0,0.0,0.9984779299847792,0.0,0.8082001129608738,0.032328004518434955,51.0,0.0,0.4980669897552996,0.25012294660460643
golden,phi,0.6300339887498948,0.012000000000000004,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,2.0,0.0,0.0,0.0019267822736030828,0.9942196531791907,0.0,1.0885628152491191,0.043542512609964765,25.5,0.0,0.5102058013989332,0.2664963988870963
golden,phi,0.6420339887498948,0.024000000000000004,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,3.0,0.0,0.0,0.0057251908396946565,0.9885496183206107,0.0,1.1108365208901303,0.04443346083560521,1.0,0.0,0.6850909482946463,0.22820510089360732
golden,phi,0.6540339887498948,0.036000000000000004,0.14,5,0.04,0.22,0.985,0.16,0.1,0.42,0.52,0.0,1.0,0.0,0.0,0.0,0.9981481481481481,0.0,1.1654236947166217,0.046616947788664875,23.0,0.0,0.5674770146275507,0.28049112144286426
golden,phi,0.5820339887498948,-0.036,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.001890359168241966,0.996219281663516,0.0,1.4135721586386818,0.05654288634554727,1.0,0.0,0.6057756718001792,0.22875834647831458
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0018975332068311196,0.9962049335863378,0.0,1.38447473418448,0.05537898936737921,1.0,0.0,0.5951301737239081,0.22538785952496285
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0019047619047619048,0.9961904761904762,0.0,1.3849585320554767,0.05539834128221907,1.0,0.0,0.6005710354431495,0.2263919828238106
golden,phi,0.6180339887498948,3.469446951953614e-18,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0,0.9984025559105432,0.0,1.0940209112582042,0.043760836450328175,17.0,0.0,0.5276099439028954,0.26973473322900965
golden,phi,0.6300339887498948,0.012000000000000004,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0,0.9980879541108987,0.0,1.3851878413448495,0.05540751365379399,20.0,0.0,0.5082351451022664,0.2808182000212145
golden,phi,0.6420339887498948,0.024000000000000004,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0,0.9980769230769231,0.0,1.4009570918610517,0.05603828367444207,32.0,0.0,0.6845528298467385,0.3133442870423886
golden,phi,0.6540339887498948,0.036000000000000004,0.14,5,0.04,0.22,0.985,0.44,0.055,0.58,0.92,0.0,1.0,0.0,0.0,0.0,0.9981549815498155,0.0,1.4145857055071183,0.056583428220284726,13.0,0.0,0.5665765525857813,0.29278686547880395
golden,phi,0.5820339887498948,-0.036,0.14,5,0.08,0.12,0.9,0.28,0.055,0.58,0.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.328789851942261,0.1063031881553809,0.0,0.0,0.6056550067769628,0.24901790121985332
golden,phi,0.5940339887498948,-0.023999999999999997,0.14,5,0.08,0.12,0.9,0.28,0.055,0.58,0.52,0.0,1.0,0.0,0.0,0.0018975332068311196,0.9962049335863378,0.0,1.2842521722868807,0.10274017378295046,1.0,0.0,0.5951301737239081,0.2561641228157388
golden,phi,0.6060339887498948,-0.011999999999999997,0.14,5,0.08,0.12,0.9,0.28,0.055,0.58,0.52,0.0,1.0,0.0,0.0,0.0019047619047619048,0.9961904761904762,0.0,1.3207557373608176,0.1056604589888654,1.0,0.0,0.6005710354431495,0.25714405622103675
