flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,window_levels,window_blend_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,macro_window_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,8,0.72,0.14,3,1.8,0.14,0.08,1,0.08,0.24,0.8100987925356751,0.4475439660400243,0.004517221908526256,0.06437041219649915,0.3543799772468714,0.14675767918088736,0.3543799772468714,0.06257110352673492,0.0,0.6456200227531286,3.45703125,0.0,0.09899055682188213,0.47048564664005954,0.717320534613276
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,8,0.55,0.14,3,1.8,0.08,0.08,3,0.14,0.36,0.8185745140388769,0.4501187648456057,0.005081874647092038,0.044042913608131,0.3623435722411832,0.16666666666666666,0.3623435722411832,0.040955631399317405,0.0,0.6376564277588168,3.45703125,0.5543619791666666,0.09964181048518397,0.46292410163765385,0.7616304825481528
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,8,0.72,0.08,5,1.8,0.14,0.04,3,0.08,0.36,0.9032967032967033,0.4745958429561201,0.004517221908526256,0.017504234895539244,0.39977285633162973,0.22600795002839297,0.39977285633162973,0.009085746734809767,0.0,0.6002271436683703,5.76171875,0.5179036458333334,0.11201563008791925,0.44701017967922696,0.811220437064252
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,8,0.72,0.08,5,1.8,0.14,0.04,3,0.14,0.36,0.9032967032967033,0.4745958429561201,0.004517221908526256,0.017504234895539244,0.39977285633162973,0.22600795002839297,0.39977285633162973,0.009085746734809767,0.0,0.6002271436683703,5.76171875,0.5179036458333334,0.11201563008791925,0.44701017967922696,0.811220437064252
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.2,8,0.55,0.08,5,1.2,0.08,0.08,3,0.08,0.24,0.7516268980477223,0.42910216718266253,0.007905138339920948,0.08018068887634106,0.6131054131054131,0.22905982905982905,0.6131054131054131,0.06894586894586895,0.14415954415954416,0.3868945868945869,5.76171875,0.54296875,0.08791924454575056,0.44199206294468363,0.7627002729540499
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,8,0.55,0.08,3,1.8,0.08,0.08,2,0.08,0.24,0.7722342733188721,0.4357405140758874,0.005081874647092038,0.0722755505364201,0.5506257110352674,0.22753128555176336,0.5506257110352674,0.07281001137656427,0.14391353811149032,0.44937428896473264,3.45703125,0.5439453125,0.09443178117876913,0.4676287785145714,0.768438669424263
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.72,0.08,3,1.8,0.08,0.04,3,0.08,0.36,0.8660714285714286,0.46411483253588515,0.005081874647092038,0.050818746470920384,0.6302616609783845,0.3361774744027304,0.6302616609783845,0.04607508532423208,0.14391353811149032,0.36973833902161546,3.45703125,0.513671875,0.10192119830674047,0.4641779646674927,0.8053982122511021
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,8,0.72,0.14,5,1.8,0.14,0.04,1,0.14,0.36,0.8841530054644808,0.46925754060324826,0.004517221908526256,0.0220214568040655,0.5178875638841567,0.29528676888131744,0.5178875638841567,0.015332197614991482,0.14366837024417944,0.48211243611584326,5.76171875,0.0,0.10322370563334418,0.4513698196960775,0.7825491506719844
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,13,0.72,0.08,3,1.2,0.14,0.04,3,0.14,0.36,0.8834285714285715,0.4690533980582524,0.005081874647092038,0.06437041219649915,0.6450511945392492,0.3572241183162685,0.6450511945392492,0.05631399317406143,0.14391353811149032,0.35494880546075086,3.45703125,0.5169270833333334,0.09801367632692934,0.4703781521462371,0.8072604015407455
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.55,0.08,5,1.2,0.08,0.08,2,0.14,0.36,0.8649237472766884,0.463785046728972,0.005081874647092038,0.028232636928289104,0.5968199886428166,0.36229415105053947,0.5968199886428166,0.018171493469619535,0.14366837024417944,0.4031800113571834,5.76171875,0.5426432291666666,0.10224682513839141,0.45261414069066064,0.8147381758289501
