mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,relation_gain,witness_threshold,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,relation_rate,slot_revisit_rate,occupied_slots,mean_charge,max_charge,pollution,phase_lock_resistance,score
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,5.0,721.0,0.006934812760055479,0.006887052341597796,0.5944134078212291,0.0,0.6804469273743017,0.8592178770949721,1.0,0.08144606426866208,0.27971245359192026,0.001221001221001221,0.4227139215806236,0.4753464065227896
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,4.0,668.0,0.005988023952095809,0.005952380952380952,0.6235294117647059,0.0,0.6582633053221288,0.6364145658263305,1.0,0.0883046204236162,0.3141394587339147,0.0009768009768009768,0.561531385203974,0.495526058503088
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.3,0.18,0.94,0.18,0.24,0.54,1.55,31.0,704.0,0.04403409090909091,0.04217687074829932,0.5909849749582637,0.0,0.6978297161936561,0.8013355592654424,2.0,0.09215259578556217,0.18934483469118873,0.00757020757020757,0.49346659475815113,0.5092965404022922
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,241.0,1525.0,0.1580327868852459,0.1364665911664779,0.029136888400219902,0.0,0.8477185266630016,0.8372732270478285,4.0,0.30224685900103,0.6703475568467818,0.02026862026862027,0.45409123562379206,0.5920388053796413
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,223.0,1447.0,0.15411195577055978,0.13353293413173653,0.06756002233389168,0.0,0.7202680067001676,0.8056951423785594,4.0,0.32727109924424,0.6836986156673038,0.026373626373626374,0.4709182742048075,0.5908819315037257
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,227.0,1439.0,0.15774843641417652,0.1362545018007203,0.06666666666666667,0.0,0.7949579831932773,0.853781512605042,5.0,0.2977989700735031,0.5810656165442158,0.03076923076923077,0.5308361937131816,0.6125002936469156
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,378.0,1847.0,0.2046561992420141,0.16988764044943822,0.05999155048584706,0.0,0.8880439374735952,0.7790452049007182,4.0,0.2321121574452807,0.5274286174524317,0.03736263736263736,0.4130413737553783,0.595494127682809
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,231.0,1475.0,0.15661016949152542,0.1354044548651817,0.04692737430167598,0.0,0.8441340782122905,0.8564245810055866,5.0,0.2942941797213264,0.5941682714815884,0.041025641025641026,0.4045704741195445,0.5924402927188317
independent,golden,phi,0.6420339887498948,0.024000000000000004,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,223.0,1425.0,0.15649122807017543,0.13531553398058252,0.07675070028011205,0.0,0.7557422969187675,0.8296918767507003,5.0,0.37335336146430026,0.6501138837000217,0.046153846153846156,0.520085577393484,0.6087404769452947
independent,golden,phi,0.6540339887498948,0.036000000000000004,5,8,0.3,0.18,0.992,0.18,0.24,0.72,1.15,231.0,1426.0,0.16199158485273493,0.13940856970428486,0.07790762381747357,0.0,0.7295492487479132,0.8369504730105731,5.0,0.2932862877433713,0.5813645758839744,0.050793650793650794,0.47986373984568786,0.6034738704227983
independent,golden,phi,0.5820339887498948,-0.036,5,8,0.3,0.3,0.975,0.18,0.36,0.72,1.55,255.0,1151.0,0.2215464813205908,0.1813655761024182,0.22704782847718527,0.0,0.8449697636063771,0.8152831225948324,4.0,0.21108438701345528,0.612002622283904,0.03638583638583639,0.44771270321489853,0.595733701550789
independent,golden,phi,0.5940339887498948,-0.023999999999999997,5,8,0.3,0.3,0.975,0.18,0.36,0.72,1.55,241.0,1155.0,0.20865800865800865,0.17263610315186245,0.22054718034617532,0.0,0.7202680067001676,0.768285873813512,4.0,0.2734427266161715,0.5373607910893564,0.04004884004884005,0.4649937129687727,0.5950902404505166
independent,golden,phi,0.6060339887498948,-0.011999999999999997,5,8,0.3,0.3,0.975,0.18,0.36,0.72,1.55,251.0,1087.0,0.23091076356945722,0.187593423019432,0.2504201680672269,0.0,0.8011204481792717,0.7394957983193278,5.0,0.2779651104652071,0.6684591239555322,0.04395604395604396,0.541650839499825,0.6226390178242381
independent,golden,phi,0.6180339887498948,3.469446951953614e-18,5,8,0.3,0.3,0.975,0.18,0.36,0.72,1.55,450.0,1663.0,0.27059530968129886,0.2129673450070989,0.10730882974228982,0.0,0.8918462188424165,0.7042670046472328,3.0,0.2086900082853538,0.6044157314433349,0.03785103785103785,0.40196781934089554,0.597499332704061
independent,golden,phi,0.6300339887498948,0.012000000000000004,5,8,0.3,0.3,0.975,0.18,0.36,0.72,1.55,255.0,1176.0,0.21683673469387754,0.17819706498951782,0.2005586592178771,0.0,0.8184357541899442,0.7575418994413408,5.0,0.1879052402425237,0.38281659315289013,0.053235653235653234,0.42782157153542455,0.60291963750953
