model,flow,family,alpha,offset,window_width,beta,pocket_gain,pocket_decay,stability_gain,stability_threshold,write_threshold,release_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,stability_success,delayed_retention,release_rate,overload_rate,mean_contact_quality,pollution,phase_lock_resistance,composite_score
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6293815545779411,0.3410688594047393
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5325533941687466,0.32545744680804467
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,349.0,349.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5057924238788829,0.3183145535917232
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.6926870882954944,0.3515795450808294
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.98,0.18,0.2,0.62,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.5923995788460692,0.33318238424936
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3629206026059051,0.0,0.5229150231465853,0.32739242607192665
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.3606356819055242,0.0,0.7216358972642827,0.35942332058420473
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35760195906228986,0.0,0.6663409691694706,0.37272155403121465
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.3774309366291299,0.0,0.44160981582010184,0.3107542693719552
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3520572795657192,0.0,0.6016627512604622,0.3439045458537408
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.3479549365924406,0.0,0.6567771946976639,0.34703884115629685
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.14,0.98,0.18,0.35,0.8,0.08,1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34418683698619107,0.0,0.6663410045022433,0.37149184086747133
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.6344864858333168,0.3424752893555384
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.6392532864996086,0.34312386241126924
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6833290142769664,0.35077940215056386
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5495523038757437,0.3285172505553041
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,347.0,347.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5536733539460037,0.32693312100380495
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.7270370305938822,0.3577625346945392
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.24,0.88,0.1,0.2,0.8,0.14,1.1,0.0,309.0,309.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.6796629512511663,0.3488897912822775
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,342.0,342.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3629206026059051,0.0,0.6344864858333168,0.3424752893555384
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3606356819055242,0.0,0.6392532864996086,0.34312386241126924
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.5,0.0,0.35760195906228986,0.0,0.6833290142769664,0.35077940215056386
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,299.0,299.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3774309366291299,0.0,0.5495523038757437,0.3285172505553041
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,347.0,347.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3520572795657192,0.0,0.5536733539460037,0.32693312100380495
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,336.0,336.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3479549365924406,0.0,0.7270370305938822,0.3577625346945392
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.24,0.88,0.18,0.2,0.45,0.14,1.1,0.0,309.0,309.0,0.0,0.0,0.0,0.0,0.5,0.0,0.34418683698619107,0.0,0.6796629512511663,0.3488897912822775
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3629206026059051,0.0,0.5704826547497772,0.33595459976050124
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,12.0,71.0,58.0,0.0,0.16901408450704225,0.0,0.14457831325301204,0.41134751773049644,0.0,0.3606356819055242,0.0039075219798111365,0.5864242294203548,0.3863855045615762
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,6.0,10.0,4.0,0.0,0.6,0.0,0.375,0.2,0.0,0.35760195906228986,0.0019537609899055682,0.5970711468245711,0.5023076099101422
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3774309366291299,0.0,0.6663408278383804,0.37453918486857873
accumulate_immediate,golden,phi,0.6300339887498948,0.012000000000000004,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,21.0,58.0,36.0,0.0,0.3620689655172414,0.0,0.26582278481012656,0.3130434782608696,0.0,0.3520572795657192,0.006838163464669489,0.6939584591855614,0.4586529018916925
accumulate_immediate,golden,phi,0.6420339887498948,0.024000000000000004,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.3479549365924406,0.0,0.5707964609715837,0.33463923216252545
accumulate_immediate,golden,phi,0.6540339887498948,0.036000000000000004,0.16,0.0,0.24,0.94,0.28,0.2,0.45,0.08,1.45,24.0,63.0,38.0,0.0,0.38095238095238093,0.0,0.27586206896551724,0.304,0.0,0.34418683698619107,0.007815043959622273,0.8079151679640463,0.48332537719184215
accumulate_immediate,golden,phi,0.5820339887498948,-0.036,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,79.0,81.0,1.0,0.0,0.9753086419753086,0.0,0.49375,0.006211180124223602,0.0,0.3629206026059051,0.025724519700423314,0.7814958266510922,0.6211658424425338
accumulate_immediate,golden,phi,0.5940339887498948,-0.023999999999999997,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,84.0,85.0,0.0,0.0,0.9882352941176471,0.0,0.4970414201183432,0.0,0.0,0.3606356819055242,0.027352653858677956,0.7800442596957755,0.6234048322772865
accumulate_immediate,golden,phi,0.6060339887498948,-0.011999999999999997,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,82.0,83.0,0.0,0.0,0.9879518072289156,0.0,0.49696969696969695,0.0,0.0,0.35760195906228986,0.026701400195376097,0.7340540603569783,0.6148575141275094
accumulate_immediate,golden,phi,0.6180339887498948,3.469446951953614e-18,0.16,0.0,0.24,0.98,0.1,0.35,0.45,0.08,1.45,71.0,71.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.3774309366291299,0.02311950504721589,0.6955241757021967,0.6124802369793441
