anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,phase_lock_resistance,delayed_retention,pollution,symmetry_balance,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_base_score
golden,phi_anchor,binary_baseline,Binary Window,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.011,4096,0.47961049587589244,0.0,1.0,0.3911889596602972,0.963623046875,0.080078125,0.0,0.3366077581377678,0.191844198350357
golden,phi_anchor,binary_baseline,Binary Window,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.011,4096,0.36170048595878235,0.0,1.0,0.3908777512596129,0.965087890625,0.079345703125,0.0,0.3015277239126347,0.14468019438351296
golden,phi_anchor,binary_baseline,Binary Window,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.011,4096,0.46999174249461506,0.0,1.0,0.3909814323607427,0.96484375,0.07958984375,0.0,0.33396627274838453,0.18799669699784605
golden,phi_anchor,binary_baseline,Binary Window,0.6300339887498948,0.011999999999999983,0.18,0.0,0.011,4096,0.2871891365367666,0.0,1.0,0.3950026581605529,0.969482421875,0.08154296875,0.0,0.28005322533603,0.11487565461470664
golden,phi_anchor,binary_baseline,Binary Window,0.6360339887498948,0.01799999999999998,0.18,0.0,0.011,4096,0.161329647144821,0.0,0.9986013986013986,0.382762312633833,0.963134765625,0.087890625,0.0,0.2413335395761386,0.06488150920757875
golden,phi_anchor,binary_baseline,Binary Window,0.6420339887498948,0.02399999999999998,0.18,0.0,0.011,4096,0.5118936269800805,0.0,1.0,0.3909814323607427,0.96337890625,0.07958984375,0.0,0.3462438693440242,0.2047574507920322
golden,phi_anchor,binary_baseline,Binary Window,0.6480339887498948,0.029999999999999978,0.18,0.0,0.011,4096,0.49838131260874097,0.0,1.0,0.39194915254237284,0.962646484375,0.078125,0.0,0.3420436906576223,0.1993525250434964
golden,phi_anchor,binary_baseline,Binary Window,0.6540339887498947,0.035999999999999976,0.18,0.0,0.011,4096,0.16994686084641974,0.0,1.0,0.39141949152542377,0.96337890625,0.078125,0.0,0.24365983950392595,0.0679787443385679
golden,phi_anchor,binary_baseline,Binary Window,0.6600339887498947,0.041999999999999975,0.18,0.0,0.011,4096,0.5514254160690941,0.0,1.0,0.3907741251325557,0.96484375,0.0791015625,0.0,0.3583963748207283,0.22057016642763766
golden,phi_anchor,binary_baseline,Binary Window,0.6660339887498947,0.04799999999999997,0.18,0.0,0.011,4096,0.47001919709839,0.0,1.0,0.3913043478260869,0.96337890625,0.0791015625,0.0,0.333681540379517,0.188007678839356
golden,phi_anchor,binary_baseline,Binary Window,0.6720339887498947,0.05399999999999997,0.18,0.0,0.011,4096,0.47032215025253155,0.0,1.0,0.38949323427964977,0.964111328125,0.079833984375,0.0,0.33391891070075946,0.18812886010101262
golden,phi_anchor,binary_baseline,Binary Window,0.6780339887498947,0.05999999999999997,0.18,0.0,0.011,4096,0.17343498076733965,0.0,0.9986468200270636,0.39183457051961823,0.96435546875,0.0791015625,0.0,0.24519928757424791,0.06971228730016996
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.18,0.13,0.0,4096,0.5152638901317679,0.0,1.0,0.3908777512596129,0.963134765625,0.079345703125,0.0,0.34720612016453034,0.20610555605270717
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.18,0.13,0.0,4096,0.3848962094366898,0.0,1.0,0.3907741251325557,0.9609375,0.0791015625,0.0,0.30765636283100695,0.1539584837746759
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.18,0.13,0.0,4096,0.4833955741515493,0.0,1.0,0.3907741251325557,0.96435546875,0.0791015625,0.0,0.33788976599546483,0.19335822966061975
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.18,0.13,0.0,4096,0.5559651169979871,0.0,1.0,0.3903473879607531,0.962890625,0.079345703125,0.0,0.35936766009939614,0.22238604679919485
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.18,0.13,0.0,4096,0.4750251071129894,0.0,0.9986449864498645,0.3913043478260869,0.96484375,0.0791015625,0.0,0.33577438511492663,0.19034879623272963
golden,phi_anchor,binary_baseline,Binary Window,0.5880339887498948,-0.030000000000000006,0.18,0.13,0.0,4096,0.2398697582243795,0.0,1.0,0.3908777512596129,0.965087890625,0.079345703125,0.0,0.26497850559231384,0.0959479032897518
golden,phi_anchor,binary_baseline,Binary Window,0.5940339887498948,-0.024000000000000007,0.18,0.13,0.0,4096,0.4562264748107504,0.0,0.9986449864498645,0.3914081145584726,0.964599609375,0.079345703125,0.0,0.33008596729925493,0.18282934331183404
golden,phi_anchor,binary_baseline,Binary Window,0.6000339887498948,-0.01800000000000001,0.18,0.13,0.0,4096,0.20979695178434454,0.0,1.0,0.39347657261195956,0.974365234375,0.056884765625,0.0,0.2578121324103034,0.08391878071373782
golden,phi_anchor,binary_baseline,Binary Window,0.6060339887498948,-0.01200000000000001,0.18,0.13,0.0,4096,0.3622797669261,0.0,1.0,0.3909814323607427,0.96533203125,0.07958984375,0.0,0.30175033632783,0.14491190677044
golden,phi_anchor,binary_baseline,Binary Window,0.6120339887498948,-0.006000000000000012,0.18,0.13,0.0,4096,0.4754793019287138,0.0,1.0,0.3907741251325557,0.963623046875,0.0791015625,0.0,0.3353683999536141,0.19019172077148552
golden,phi_anchor,binary_baseline,Binary Window,0.6180339887498948,-1.3877787807814457e-17,0.18,0.13,0.0,4096,0.5544117339794032,0.0,1.0,0.3908777512596129,0.964111328125,0.079345703125,0.0,0.35914578581882095,0.22176469359176132
golden,phi_anchor,binary_baseline,Binary Window,0.6240339887498948,0.0059999999999999845,0.18,0.13,0.0,4096,0.4545399878979316,0.0,0.9986449864498645,0.3913043478260869,0.96337890625,0.0791015625,0.0,0.3293358806004093,0.18215474854670652
golden,phi_anchor,binary_baseline,Binary Window,0.6300339887498948,0.011999999999999983,0.18,0.13,0.0,4096,0.5115418927754378,0.0,1.0,0.3907741251325557,0.964599609375,0.0791015625,0.0,0.34638248970763136,0.20461675711017513
golden,phi_anchor,binary_baseline,Binary Window,0.6360339887498948,0.01799999999999998,0.18,0.13,0.0,4096,0.18166389190912524,0.0,0.9986431478968792,0.3909814323607427,0.96240234375,0.07958984375,0.0,0.24727814378542418,0.07300476978943028
golden,phi_anchor,binary_baseline,Binary Window,0.6420339887498948,0.02399999999999998,0.18,0.13,0.0,4096,0.4951449678922769,0.0,1.0,0.3907741251325557,0.964111328125,0.0791015625,0.0,0.3413657559926831,0.19805798715691078
golden,phi_anchor,binary_baseline,Binary Window,0.6480339887498948,0.029999999999999978,0.18,0.13,0.0,4096,0.5268302197983539,0.0,1.0,0.3908777512596129,0.9638671875,0.079345703125,0.0,0.35082250343950616,0.21073208791934156
golden,phi_anchor,binary_baseline,Binary Window,0.6540339887498947,0.035999999999999976,0.18,0.13,0.0,4096,0.4716448681474795,0.0,1.0,0.3907741251325557,0.962646484375,0.0791015625,0.0,0.33402275731924386,0.18865794725899182
golden,phi_anchor,binary_baseline,Binary Window,0.6600339887498947,0.041999999999999975,0.18,0.13,0.0,4096,0.4526769907629129,0.0,1.0,0.3907741251325557,0.963623046875,0.0791015625,0.0,0.32852770660387387,0.18107079630516518
golden,phi_anchor,binary_baseline,Binary Window,0.6660339887498947,0.04799999999999997,0.18,0.13,0.0,4096,0.15888767269160076,0.0,1.0,0.4007401533174729,0.964111328125,0.076416015625,0.0,0.24048856743248023,0.06355506907664031
