flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,pass_through,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.16,0.78,13,0.14,0.32,0.24,0.8030973451327433,0.44539877300613495,0.0855614973262032,0.0427807486631016,0.45864661654135336,0.0,0.2781954887218045,0.10526315789473684,0.5413533834586466,0.05405405405405406,0.5873671856936384,0.6050003675632989
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.08,0.18,0.36,0.8154506437768241,0.4491725768321513,0.07593582887700535,0.019251336898395723,0.4149377593360996,0.0,0.06639004149377593,0.12863070539419086,0.5850622406639004,0.05275154672745034,0.5614660762413413,0.6703155892729759
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.14,0.18,0.24,0.7884187082405345,0.44084682440846823,0.08128342245989305,0.059893048128342244,0.44298245614035087,0.0,0.2324561403508772,0.12719298245614036,0.5570175438596491,0.04884402474763921,0.4489898062443155,0.5934284410007493
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.14,0.18,0.36,0.8286334056399133,0.4531435349940688,0.07700534759358289,0.0213903743315508,0.4358974358974359,0.0,0.07692307692307693,0.1282051282051282,0.5641025641025641,0.05405405405405406,0.5631194186210828,0.6694321341686666
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.14,0.46,0.24,0.7973273942093542,0.4436183395291202,0.07593582887700535,0.06096256684491978,0.453781512605042,0.0,0.226890756302521,0.1134453781512605,0.5462184873949579,0.05275154672745034,0.45041097067715863,0.599723911236145
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.2,0.32,0.24,0.7777777777777778,0.4375,0.07700534759358289,0.06737967914438503,0.42424242424242425,0.0,0.2554112554112554,0.11255411255411256,0.5757575757575758,0.052425919895799415,0.44841563138574536,0.5863277794415578
silver,metallic,0.43821356237309517,21,13,0.16,0.78,21,0.2,0.46,0.36,0.8333333333333334,0.45454545454545453,0.07272727272727272,0.044919786096256686,0.4605809128630705,0.0,0.13692946058091288,0.12863070539419086,0.5394190871369294,0.05307717355910127,0.4481848820595563,0.633436680092868
silver,metallic,0.43821356237309517,21,13,0.24,0.58,13,0.08,0.18,0.24,0.801762114537445,0.4449877750611247,0.08235294117647059,0.0427807486631016,0.8449612403100775,0.0,0.2868217054263566,0.4108527131782946,0.15503875968992248,0.05307717355910127,0.585006883699424,0.49806839413274284
silver,metallic,0.43821356237309517,21,13,0.24,0.58,13,0.08,0.32,0.36,0.8311688311688312,0.45390070921985815,0.0748663101604278,0.020320855614973262,0.7605633802816901,0.0,0.1056338028169014,0.38028169014084506,0.23943661971830985,0.052100293064148484,0.5813799664137258,0.5872857281145822
silver,metallic,0.43821356237309517,21,13,0.24,0.58,13,0.14,0.32,0.24,0.7928730512249443,0.4422360248447205,0.08021390374331551,0.058823529411764705,0.8307692307692308,0.0,0.4,0.4307692307692308,0.16923076923076924,0.04916965157929013,0.5866511045720404,0.4951495983083336
