flow,family,alpha,best_delay,best_slot_count,recall_window,recall_gain,drift_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,pollution,phase_lock_resistance,score
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.06,0.39864864864864863,0.44,0.7566371681415929,0.43073047858942065,0.12111468381564845,0.027867095391211148,0.6013513513513513,0.6013513513513513,0.07432432432432433,0.11136437642461738,0.531414300734449,0.7095787976245845
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.0,0.18,0.7951002227171492,0.44292803970223327,0.12754555198285103,0.00857449088960343,1.0,1.0,0.0,0.1162487788993813,0.5289418054507218,0.8187569257816781
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.0,0.3,0.7951002227171492,0.44292803970223327,0.12754555198285103,0.00857449088960343,1.0,1.0,0.0,0.1162487788993813,0.5289418054507218,0.8187569257816781
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.0,0.44,0.7951002227171492,0.44292803970223327,0.12754555198285103,0.00857449088960343,1.0,1.0,0.0,0.1162487788993813,0.5289418054507218,0.8187569257816781
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.4552238805970149,0.18,0.714622641509434,0.4167812929848693,0.12968917470525188,0.09110396570203644,0.5447761194029851,0.5447761194029851,0.30597014925373134,0.0986649299902312,0.5417084548392508,0.6341182431454373
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.4306569343065693,0.3,0.7482993197278912,0.4280155642023346,0.12111468381564845,0.05251875669882101,0.5693430656934306,0.5693430656934306,0.16423357664233576,0.10745685444480625,0.5347434261391026,0.6817260474451504
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.4586206896551724,0.44,0.781038374717833,0.4385297845373891,0.1232583065380493,0.031082529474812434,0.5413793103448276,0.5413793103448276,0.07931034482758621,0.1126668837512211,0.5335712798044165,0.7131135496845775
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.45977011494252873,0.18,0.7198067632850241,0.41853932584269665,0.13719185423365488,0.09967845659163987,0.5402298850574713,0.5402298850574713,0.3448275862068966,0.09703679583197655,0.5422345558059027,0.6237934000468063
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.43272727272727274,0.3,0.744920993227991,0.4269081500646831,0.1189710610932476,0.05251875669882101,0.5672727272727273,0.5672727272727273,0.16363636363636364,0.10745685444480625,0.5353325024401101,0.6813175100042299
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.12,0.4554794520547945,0.44,0.7832957110609481,0.43924050632911393,0.12218649517684887,0.031082529474812434,0.5445205479452054,0.5445205479452054,0.07876712328767123,0.11299251058287203,0.534487813513328,0.7138455803205876
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.0,0.18,0.7682119205298014,0.4344569288389513,0.12433011789924973,0.01714898177920686,1.0,1.0,0.0,0.11331813741452296,0.5298623237738069,0.8133033545895649
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.0,0.3,0.7682119205298014,0.4344569288389513,0.12433011789924973,0.01714898177920686,1.0,1.0,0.0,0.11331813741452296,0.5298623237738069,0.8133033545895649
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.0,0.44,0.7682119205298014,0.4344569288389513,0.12433011789924973,0.01714898177920686,1.0,1.0,0.0,0.11331813741452296,0.5298623237738069,0.8133033545895649
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.44814814814814813,0.18,0.7253012048192771,0.420391061452514,0.12968917470525188,0.10289389067524116,0.5518518518518518,0.5518518518518518,0.34074074074074073,0.09768804949527841,0.542974724894675,0.6259874817655107
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.45104895104895104,0.3,0.7494305239179955,0.4283854166666667,0.11468381564844587,0.06216505894962487,0.548951048951049,0.548951048951049,0.17832167832167833,0.10647997394985347,0.5361558221802205,0.6777187627816897
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.44982698961937717,0.44,0.7623318385650224,0.43256997455470736,0.11682743837084673,0.04072883172561629,0.5501730103806228,0.5501730103806228,0.08996539792387544,0.1103874959296646,0.5371817395412819,0.706570353653988
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.43636363636363634,0.18,0.7142857142857143,0.4166666666666667,0.13290460878885316,0.1082529474812433,0.5636363636363636,0.5636363636363636,0.3563636363636364,0.09605991533702377,0.5459266687271613,0.6214183381411467
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.445993031358885,0.3,0.7517084282460137,0.42912873862158646,0.11361200428724544,0.06216505894962487,0.554006968641115,0.554006968641115,0.17770034843205576,0.10647997394985347,0.5376035526036897,0.6785815858021245
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,13,0.2,0.43205574912891986,0.44,0.7488789237668162,0.4282051282051282,0.11361200428724544,0.05037513397642015,0.5679442508710801,0.5679442508710801,0.10801393728222997,0.10843373493975904,0.5367333389819002,0.6982810090408211
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.0,0.18,0.8058035714285714,0.446229913473424,0.12861736334405144,0.004287245444801715,1.0,1.0,0.0,0.11755128622598503,0.5281741634645509,0.820892100616171
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.0,0.3,0.8058035714285714,0.446229913473424,0.12861736334405144,0.004287245444801715,1.0,1.0,0.0,0.11755128622598503,0.5281741634645509,0.820892100616171
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.0,0.44,0.8058035714285714,0.446229913473424,0.12861736334405144,0.004287245444801715,1.0,1.0,0.0,0.11755128622598503,0.5281741634645509,0.820892100616171
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4550898203592814,0.18,0.7064439140811456,0.413986013986014,0.13612004287245444,0.09753483386923902,0.5449101796407185,0.5449101796407185,0.27245508982035926,0.0963855421686747,0.5428706729951818,0.642028325431393
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4596100278551532,0.3,0.7470997679814385,0.42762284196547146,0.13504823151125403,0.05787781350482315,0.5403899721448467,0.5403899721448467,0.14763231197771587,0.10485183979159883,0.5382709055682513,0.6866569055739242
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4441489361702128,0.44,0.7692307692307693,0.43478260869565216,0.12433011789924973,0.03751339764201501,0.5558510638297872,0.5558510638297872,0.08244680851063829,0.11071312276131554,0.5353712358831353,0.709942676838497
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4603658536585366,0.18,0.6830985915492958,0.40585774058577406,0.1339764201500536,0.09753483386923902,0.5396341463414634,0.5396341463414634,0.2774390243902439,0.09475740801042006,0.5434208718300355,0.6360631382340761
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4604519774011299,0.3,0.7511737089201878,0.4289544235924933,0.1382636655948553,0.06216505894962487,0.53954802259887,0.53954802259887,0.15819209039548024,0.10420058612829697,0.5391080769716652,0.6844035942069052
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.06,0.4441489361702128,0.44,0.7629796839729119,0.4327784891165173,0.12433011789924973,0.03858520900321544,0.5558510638297872,0.5558510638297872,0.0851063829787234,0.11006186909801367,0.5354125890068524,0.7079277190431905
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.0,0.18,0.7827050997782705,0.43905472636815923,0.1264737406216506,0.011789924973204717,1.0,1.0,0.0,0.11494627157277759,0.5295032114410829,0.8163030871319766
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.0,0.3,0.7827050997782705,0.43905472636815923,0.1264737406216506,0.011789924973204717,1.0,1.0,0.0,0.11494627157277759,0.5295032114410829,0.8163030871319766
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.0,0.44,0.7827050997782705,0.43905472636815923,0.1264737406216506,0.011789924973204717,1.0,1.0,0.0,0.11494627157277759,0.5295032114410829,0.8163030871319766
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.49696969696969695,0.18,0.7101449275362319,0.4152542372881356,0.13183279742765272,0.10932475884244373,0.503030303030303,0.503030303030303,0.30606060606060603,0.09573428850537284,0.5444363920454622,0.6328646797943691
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.4447592067988669,0.3,0.7339449541284404,0.42328042328042326,0.12433011789924973,0.06538049303322616,0.5552407932011332,0.5552407932011332,0.1558073654390935,0.10420058612829697,0.5395801421792357,0.6815622221193475
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.45549738219895286,0.44,0.7652370203160271,0.43350383631713557,0.11789924973204716,0.04394426580921758,0.5445026178010471,0.5445026178010471,0.08376963350785341,0.1103874959296646,0.5369615519105302,0.7087214628251176
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.4969512195121951,0.18,0.7093596059113301,0.414985590778098,0.14040728831725616,0.1157556270096463,0.5030487804878049,0.5030487804878049,0.3201219512195122,0.09378052751546727,0.5484361095741344,0.6291053630106441
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.4475920679886686,0.3,0.7293577981651376,0.4217506631299735,0.12433011789924973,0.06752411575562701,0.5524079320113314,0.5524079320113314,0.16147308781869688,0.10354933246499512,0.5389261909318768,0.6788466774718889
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.12,0.434010152284264,0.44,0.774712643678161,0.4365284974093264,0.12540192926045016,0.04715969989281887,0.565989847715736,0.565989847715736,0.09137055837563451,0.10973624226636275,0.5378943327533374,0.70844986498859
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,21,0.2,0.0,0.18,0.7577092511013216,0.43107769423558895,0.1232583065380493,0.021436227224008574,1.0,1.0,0.0,0.11201563008791925,0.5303783499617494,0.8111507466127655
