name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_deviation,periodicity_match,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,tradeoff_score
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.0,0.18181818181818182,4.0,0.6945211354302263,0.0,2406.0,1650.0,40.0,0.0012468827930174563,0.0,11.883833952671392,1.8427157296792227
near_golden_m0_020,near_golden,0.5980339887498948,0.47,0.17,0.18181818181818182,4.0,0.6945211354302263,0.0,2406.0,1650.0,40.0,0.0012468827930174563,0.0,11.883833952671392,1.8427157296792227
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.0,0.2727272727272727,2.0,0.5391098800189709,0.0,3631.0,465.0,0.0,0.001101624896722666,0.0,12.901575765507923,1.8928086740762007
near_golden_m0_010,near_golden,0.6080339887498948,0.2,0.17,0.2727272727272727,2.0,0.5391098800189709,0.0,3631.0,465.0,0.0,0.001101624896722666,0.0,12.901575765507923,1.8928086740762007
near_golden_m0_010,near_golden,0.6080339887498948,0.34,0.0,0.18181818181818182,3.0,0.6414908323999232,0.0,2995.0,889.0,212.0,0.001001669449081803,0.6394557823129252,10.428571774312607,2.5398470080552955
near_golden_m0_010,near_golden,0.6080339887498948,0.34,0.17,0.18181818181818182,3.0,0.6414908323999232,0.0,2995.0,889.0,212.0,0.001001669449081803,0.6394557823129252,10.428571774312607,2.5398470080552955
near_golden_m0_010,near_golden,0.6080339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3216.0,725.0,155.0,0.0009328358208955224,0.6729957805907173,10.284295655444799,2.576155002418056
near_golden_m0_010,near_golden,0.6080339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3216.0,725.0,155.0,0.0009328358208955224,0.6729957805907173,10.284295655444799,2.576155002418056
near_golden_m0_005,near_golden,0.6130339887498948,0.2,0.0,0.2727272727272727,2.0,0.5391098800189709,0.0,2690.0,1406.0,0.0,0.0011152416356877324,1.0,10.916659333496293,2.983978083648258
near_golden_m0_005,near_golden,0.6130339887498948,0.2,0.17,0.2727272727272727,2.0,0.5391098800189709,0.0,2690.0,1406.0,0.0,0.0011152416356877324,1.0,10.916659333496293,2.983978083648258
near_golden_m0_005,near_golden,0.6130339887498948,0.34,0.0,0.18181818181818182,2.0,0.6414908323999232,0.0,2976.0,1119.0,1.0,0.0006720430107526882,1.0,10.538838819454805,2.937199304770527
near_golden_m0_005,near_golden,0.6130339887498948,0.34,0.17,0.18181818181818182,2.0,0.6414908323999232,0.0,2976.0,1119.0,1.0,0.0006720430107526882,1.0,10.538838819454805,2.937199304770527
near_golden_m0_005,near_golden,0.6130339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3358.0,738.0,0.0,0.0011911852293031567,0.0,10.123455478569252,1.8349382935337442
near_golden_m0_005,near_golden,0.6130339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3358.0,738.0,0.0,0.0011911852293031567,0.0,10.123455478569252,1.8349382935337442
near_golden_p0_005,near_golden,0.6230339887498948,0.2,0.0,0.2727272727272727,3.0,0.5391098800189709,0.005235602094240838,2169.0,1927.0,0.0,0.0009220839096357768,1.0,10.574198279464758,2.968474806639646
near_golden_p0_005,near_golden,0.6230339887498948,0.2,0.17,0.2727272727272727,3.0,0.5391098800189709,0.005235602094240838,2169.0,1927.0,0.0,0.0009220839096357768,1.0,10.574198279464758,2.968474806639646
near_golden_p0_005,near_golden,0.6230339887498948,0.34,0.0,0.2727272727272727,3.0,0.6414908323999232,0.005235602094240838,2933.0,1163.0,0.0,0.0010228435049437436,1.0,11.350522284689971,2.9718436855100547
near_golden_p0_005,near_golden,0.6230339887498948,0.34,0.17,0.2727272727272727,3.0,0.6414908323999232,0.005235602094240838,2933.0,1163.0,0.0,0.0010228435049437436,1.0,11.350522284689971,2.9718436855100547
near_golden_p0_005,near_golden,0.6230339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3842.0,70.0,184.0,0.001041124414367517,0.0,10.216952994705226,1.8354737852505547
near_golden_p0_005,near_golden,0.6230339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3842.0,70.0,184.0,0.001041124414367517,0.0,10.216952994705226,1.8354737852505547
near_golden_p0_010,near_golden,0.6280339887498948,0.2,0.0,0.2727272727272727,3.0,0.5391098800189709,0.0,2116.0,1980.0,0.0,0.0014177693761814746,0.0,10.3841044802179,1.881369728855847
near_golden_p0_010,near_golden,0.6280339887498948,0.2,0.17,0.2727272727272727,3.0,0.5391098800189709,0.0,2116.0,1980.0,0.0,0.0014177693761814746,0.0,10.3841044802179,1.881369728855847
