flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,gap_from_real
fib_13_21,rational,real,0.7086363971520944,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0
fib_13_21,rational,no_binding,0.7205324290189555,0.8213507625272332,0.45095693779904306,0.059637912673056445,0.05005324813631523,0.38442521631644005,0.09517923362175525,0.38442521631644005,0.0519159456118665,0.0,0.61557478368356,3.0533854166666665,0.0,0.2779947916666667,0.0,0.1185281667209378,0.3655644644902044,-0.011896031866861168
fib_13_21,rational,shuffled_phase,0.7107527926361721,0.7594654788418709,0.4316455696202532,0.003194888178913738,0.1554845580404686,0.9849056603773585,0.22264150943396227,0.9849056603773585,0.06792452830188679,0.0,0.01509433962264151,3.0533854166666665,0.2799479166666667,0.2789713541666667,0.0,0.10224682513839141,0.3829192171934078,-0.0021163954840777155
fib_13_21,rational,flat_binding,0.6532964415572798,0.5022522522522522,0.3343328335832084,0.0010649627263045794,0.288604898828541,1.0,0.16808149405772496,1.0,0.07640067911714771,0.0,0.0,3.0533854166666665,0.3053385416666667,0.2708333333333333,0.0,0.06414848583523282,0.38375226624174774,0.05533995559481453
fib_13_21,rational,no_multiscale,0.6971924673120912,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9836272040302267,0.21032745591939547,0.9836272040302267,0.06926952141057935,0.0,0.0163727959697733,3.0533854166666665,0.3050130208333333,0.0,0.0,0.10159557147508955,0.3839444423364228,0.011443929840003197
fib_13_21,rational,no_band,0.7091674311499515,0.7416481069042317,0.4258312020460358,0.007454739084132056,0.1597444089456869,0.9858429858429858,0.22522522522522523,0.9858429858429858,0.0682110682110682,0.0,0.014157014157014158,3.0533854166666665,0.3050130208333333,0.2789713541666667,0.0,0.10061869098013676,0.3855173296519173,-0.0005310339978571443
pi_mod1,constant,real,0.7894763062032037,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0
pi_mod1,constant,no_binding,0.7098076568463002,0.5847107438016529,0.36897001303780963,0.17880085653104924,0.0,0.369901547116737,0.06469760900140648,0.369901547116737,0.0,0.0,0.630098452883263,3.037109375,0.0,0.2861328125,0.030598958333333332,0.09215239335721263,0.5139861143685576,0.07966864935690354
pi_mod1,constant,shuffled_phase,0.792551925659289,0.8830897703549061,0.46895787139689576,0.0053533190578158455,0.028907922912205567,0.9589201877934272,0.26291079812206575,0.9589201877934272,0.004694835680751174,0.0,0.04107981220657277,3.037109375,0.267578125,0.2841796875,0.11555989583333333,0.131227613155324,0.5262354714753903,-0.0030756194560852546
pi_mod1,constant,flat_binding,0.7547810748472189,0.7258771929824561,0.420584498094028,0.0010706638115631692,0.15631691648822268,0.9973544973544973,0.2447089947089947,0.9973544973544973,0.013227513227513227,0.0,0.0026455026455026454,3.037109375,0.3037109375,0.2815755208333333,0.091796875,0.09964181048518397,0.5411948880089175,0.034695231355984846
pi_mod1,constant,no_multiscale,0.7802826269139643,0.88125,0.4684385382059801,0.006423982869379015,0.02676659528907923,0.9543325526932084,0.2529274004683841,0.9543325526932084,0.00351288056206089,0.0,0.04566744730679157,3.037109375,0.2740885416666667,0.0,0.1181640625,0.13220449365027678,0.5269977793950977,0.00919367928923942
pi_mod1,constant,no_band,0.7795682327678409,0.8648648648648649,0.463768115942029,0.01284796573875803,0.02676659528907923,0.9584816132858838,0.2597864768683274,0.9584816132858838,0.004744958481613286,0.0,0.04151838671411625,3.037109375,0.2740885416666667,0.2848307291666667,0.0,0.13057635949202215,0.5258374656643208,0.009908073435362819
