flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_family_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
bounded_cf_2,bounded_cf,family_break,0.7916173141471763,0.7402912621359223,0.42538354253835425,0.10396570203644159,0.12754555198285103,0.5517857142857143,0.15357142857142858,0.5517857142857143,0.1,0.0,0.44821428571428573,0.0986649299902312,0.5453575895137972,-0.006171327444125074
random_cf_1,random_cf,real,0.7940207431567413,0.7536585365853659,0.4297635605006954,0.07244785949506037,0.13830954994511527,0.6031746031746031,0.17857142857142858,0.6031746031746031,0.13293650793650794,0.0,0.3968253968253968,0.08140670791273201,0.6013818914032762,0.0
random_cf_1,random_cf,shuffled_similarity,0.702649663811044,0.7558139534883721,0.4304635761589404,0.08342480790340286,0.08781558726673985,0.2589792060491493,0.08695652173913043,0.2589792060491493,0.06049149338374291,0.0,0.7410207939508506,0.0846629762292413,0.5945303546078362,0.09137107934569733
random_cf_1,random_cf,random_tint,0.7650524891884873,0.7536585365853659,0.4297635605006954,0.07244785949506037,0.13830954994511527,0.6031746031746031,0.17857142857142858,0.6031746031746031,0.13293650793650794,0.14484126984126985,0.3968253968253968,0.08140670791273201,0.6013818914032762,0.028968253968253976
random_cf_1,random_cf,family_break,0.8008889563935597,0.7609756097560976,0.43213296398891965,0.07135016465422613,0.13611416026344675,0.6207584830339321,0.18363273453093812,0.6207584830339321,0.11776447105788423,0.0,0.37924151696606784,0.08108108108108109,0.5999433684682436,-0.00686821323681841
fib_13_21,rational,real,0.72045380007117,0.6815642458100558,0.4053156146179402,0.06815761448349308,0.29073482428115016,0.752442996742671,0.250814332247557,0.752442996742671,0.255700325732899,0.0,0.247557003257329,0.07587105177466623,0.6044079341638076,0.0
fib_13_21,rational,shuffled_similarity,0.7126552819027859,0.706766917293233,0.41409691629955947,0.05644302449414271,0.21831735889243875,0.4076335877862595,0.13893129770992366,0.4076335877862595,0.17557251908396945,0.0,0.5923664122137404,0.08889612504070335,0.38052077966740494,0.007798518168384061
fib_13_21,rational,random_tint,0.6855733403895897,0.6796657381615598,0.4046434494195688,0.0670926517571885,0.29073482428115016,0.752442996742671,0.250814332247557,0.752442996742671,0.255700325732899,0.17263843648208468,0.247557003257329,0.0755454249430153,0.6043805993708249,0.03488045968158027
fib_13_21,rational,family_break,0.6789889147269972,0.6774193548387096,0.40384615384615385,0.05324813631522897,0.2822151224707135,0.7695924764890282,0.27586206896551724,0.7695924764890282,0.28056426332288403,0.0,0.2304075235109718,0.07977857375447737,0.3795892583852193,0.04146488534417281
pi_mod1,constant,real,0.7970818431222172,0.7652811735941321,0.43351800554016623,0.06745182012847965,0.15952890792291222,0.5971479500891266,0.18181818181818182,0.5971479500891266,0.09982174688057041,0.0,0.4028520499108734,0.09931618365353305,0.5347338147757754,0.0
pi_mod1,constant,shuffled_similarity,0.7208452653883545,0.7845804988662132,0.43964421855146124,0.06745182012847965,0.08993576017130621,0.28836424957841483,0.09780775716694773,0.28836424957841483,0.050590219224283306,0.0,0.7116357504215851,0.1103874959296646,0.53511194799443,0.07623657773386272
pi_mod1,constant,random_tint,0.766558142829149,0.7714987714987716,0.435506241331484,0.06745182012847965,0.16059957173447537,0.5961538461538461,0.17832167832167833,0.5961538461538461,0.09965034965034965,0.15734265734265734,0.40384615384615385,0.09931618365353305,0.5359343394657483,0.030523700293068168
pi_mod1,constant,family_break,0.7937448663010023,0.7613365155131265,0.43224932249322495,0.06209850107066381,0.14775160599571735,0.5941278065630398,0.18652849740932642,0.5941278065630398,0.11053540587219343,0.0,0.4058721934369603,0.10126994464343862,0.5356800196329907,0.003336976821214921
