flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,gap_from_real
bounded_cf_2,bounded_cf,shuffled_field,0.7812129143720575,0.6030701754385965,0.3761969904240766,0.1939978563772776,0.022508038585209004,0.6380597014925373,0.12313432835820895,0.6380597014925373,0.026119402985074626,0.0,0.3619402985074627,3.0647786458333335,0.08954737870400521,0.5351279852380013,0.015122755315844727
random_cf_1,random_cf,real,0.8320960710291843,0.7923250564334086,0.4420654911838791,0.11745334796926454,0.010976948408342482,0.665158371040724,0.19117647058823528,0.665158371040724,0.010180995475113122,0.0,0.334841628959276,2.9557291666666665,0.09801367632692934,0.587124455805287,0.0
random_cf_1,random_cf,no_field,0.7343725487430365,0.656641604010025,0.39636913767019666,0.2667398463227223,0.007683863885839737,0.6954022988505747,0.6954022988505747,0.6954022988505747,0.0,0.0,0.3045977011494253,0.0,0.08108108108108109,0.5819765078272112,0.09772352228614778
random_cf_1,random_cf,flat_field,0.8063356887841302,0.6494623655913978,0.39374185136897,0.1525795828759605,0.005488474204171241,0.6521739130434783,0.15393654524089306,0.6521739130434783,0.005875440658049354,0.0,0.34782608695652173,2.9557291666666665,0.0846629762292413,0.583404928343173,0.02576038224505406
random_cf_1,random_cf,shuffled_field,0.8102690930465335,0.6740576496674058,0.40264900662251657,0.16355653128430298,0.007683863885839737,0.6444444444444445,0.1543859649122807,0.6444444444444445,0.008187134502923977,0.0,0.35555555555555557,2.9557291666666665,0.08563985672419408,0.5832449513968863,0.021826977982650764
fib_13_21,rational,real,0.7986134180766917,0.8688524590163934,0.4649122807017544,0.042598509052183174,0.10756123535676251,0.6582969432314411,0.25327510917030566,0.6582969432314411,0.0851528384279476,0.0,0.34170305676855894,3.0533854166666665,0.11559752523607945,0.3826808513514386,0.0
fib_13_21,rational,no_field,0.6864576880455845,0.7311111111111112,0.42233632862644416,0.14057507987220447,0.029818956336528223,0.8145454545454546,0.8145454545454546,0.8145454545454546,0.02181818181818182,0.0,0.18545454545454546,0.0,0.10713122761315533,0.34798943533857607,0.11215573003110724
fib_13_21,rational,flat_field,0.8334699355649723,0.8767123287671232,0.46715328467153283,0.03727369542066028,0.08732694355697551,0.625945945945946,0.23783783783783785,0.625945945945946,0.07891891891891892,0.0,0.37405405405405406,3.0533854166666665,0.11983067404754151,0.6086521169378989,-0.03485651748828056
fib_13_21,rational,shuffled_field,0.7968420306220584,0.8604118993135011,0.46248462484624847,0.038338658146964855,0.09584664536741214,0.6364628820960698,0.23799126637554585,0.6364628820960698,0.0851528384279476,0.0,0.3635371179039301,3.0533854166666665,0.1185281667209378,0.3818923425637034,0.0017713874546333441
pi_mod1,constant,real,0.8100837098416951,0.7233606557377049,0.41973840665873957,0.09421841541755889,0.0053533190578158455,0.6711409395973155,0.1767337807606264,0.6711409395973155,0.0022371364653243847,0.0,0.3288590604026846,3.037109375,0.11364376424617388,0.5157219647276636,0.0
pi_mod1,constant,no_field,0.7141378970578857,0.6531645569620254,0.39509954058192953,0.29229122055674517,0.008565310492505354,0.7559523809523809,0.7559523809523809,0.7559523809523809,0.0,0.0,0.24404761904761904,0.0,0.08401172256593943,0.5162424332979707,0.09594581278380943
pi_mod1,constant,flat_field,0.7910526173531824,0.6161616161616161,0.38125,0.14132762312633834,0.0021413276231263384,0.6433566433566433,0.1386946386946387,0.6433566433566433,0.0011655011655011655,0.0,0.35664335664335667,3.037109375,0.09931618365353305,0.5158375052929096,0.019031092488512646
pi_mod1,constant,shuffled_field,0.7923068965526721,0.6219512195121951,0.38345864661654133,0.14453961456102785,0.0010706638115631692,0.6213704994192799,0.13937282229965156,0.6213704994192799,0.0011614401858304297,0.0,0.3786295005807201,3.09765625,0.09931618365353305,0.5167896701002859,0.01777681328902303
