name,family,alpha,window_type,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,compression_score_cap,composite_score
golden,golden,0.6180339887498948,double,0.2,0.0,0.2727272727272727,2.0,0.1975333945907978,0.48142589733498825,0.0,257,3404.0,543.0,149.0,0.0,0.0,11.381949536923871,45.010989010989015,3.7904638785712264
golden,golden,0.6180339887498948,double,0.2,0.17,0.2727272727272727,2.0,0.1975333945907978,0.48142589733498825,0.0,257,3404.0,543.0,149.0,0.0,0.0,11.381949536923871,45.010989010989015,3.7904638785712264
golden,golden,0.6180339887498948,double,0.34,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3439.0,657.0,0.0,0.0008723466123873219,1.0,9.306236684250662,45.010989010989015,3.8898020848179033
golden,golden,0.6180339887498948,double,0.34,0.17,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3439.0,657.0,0.0,0.0008723466123873219,1.0,9.306236684250662,45.010989010989015,3.8898020848179033
golden,golden,0.6180339887498948,double,0.47,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3627.0,450.0,19.0,0.008547008547008548,0.0,13.745134474327628,45.010989010989015,2.9314364681587954
golden,golden,0.6180339887498948,double,0.47,0.17,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3627.0,450.0,19.0,0.008547008547008548,0.0,13.745134474327628,45.010989010989015,2.9314364681587954
silver,silver,0.41421356237309515,single,0.2,0.0,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2924.0,1170.0,2.0,0.0010259917920656635,1.0,10.570968530448427,45.010989010989015,4.6536975849023845
silver,silver,0.41421356237309515,single,0.2,0.17,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2924.0,1170.0,2.0,0.0010259917920656635,1.0,10.570968530448427,45.010989010989015,4.6536975849023845
silver,silver,0.41421356237309515,single,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,3377.0,719.0,0.0,0.005034053893988748,1.0,9.35263300455185,45.010989010989015,4.121004251196727
silver,silver,0.41421356237309515,single,0.34,0.17,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,3377.0,719.0,0.0,0.005034053893988748,1.0,9.35263300455185,45.010989010989015,4.121004251196727
silver,silver,0.41421356237309515,single,0.47,0.0,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2870.0,1226.0,0.0,0.0010452961672473868,0.0,10.840160291211324,45.010989010989015,3.570304933498213
silver,silver,0.41421356237309515,single,0.47,0.17,0.2727272727272727,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2870.0,1226.0,0.0,0.0010452961672473868,0.0,10.840160291211324,45.010989010989015,3.570304933498213
silver,silver,0.41421356237309515,moving,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2789.0,1307.0,0.0,0.0010756543564001434,1.0,10.357580239426465,45.010989010989015,4.720325139227101
silver,silver,0.41421356237309515,moving,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2789.0,1307.0,0.0,0.0010756543564001434,1.0,10.357580239426465,45.010989010989015,4.720325139227101
