flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.12,0.3,0.8042553191489362,0.44575471698113206,0.07379679144385026,0.019251336898395723,0.0,0.0,0.10687022900763359,0.03816793893129771,0.6335877862595419,0.05405405405405406,0.5846287782880832,0.5300617324998312
silver,metallic,0.43821356237309517,21,13,0.1,0.82,13,0.2,0.18,0.7947019867549668,0.44280442804428044,0.08449197860962566,0.045989304812834225,0.0,0.0,0.3046875,0.03125,0.625,0.052425919895799415,0.5881369290791241,0.47310406985650566
silver,metallic,0.43821356237309517,21,13,0.1,0.82,21,0.12,0.18,0.7923250564334086,0.4420654911838791,0.08983957219251337,0.06096256684491978,0.0,0.0,0.24778761061946902,0.048672566371681415,0.6327433628318584,0.053728427222403126,0.5911380016751637,0.48487293470293713
silver,metallic,0.43821356237309517,21,13,0.1,0.82,21,0.12,0.3,0.8140043763676149,0.4487334137515078,0.07914438502673797,0.034224598930481284,0.0,0.0,0.11297071129707113,0.0502092050209205,0.6317991631799164,0.05275154672745034,0.5667886629760355,0.5244487246107701
silver,metallic,0.43821356237309517,21,13,0.22,0.55,13,0.06,0.44,0.8423326133909287,0.45720984759671746,0.08021390374331551,0.0074866310160427805,0.0,0.0,0.0364963503649635,0.3722627737226277,0.21897810218978103,0.053402800390752195,0.5812752562390133,0.4446967398891268
silver,metallic,0.43821356237309517,21,13,0.22,0.55,13,0.2,0.44,0.8211206896551724,0.450887573964497,0.06951871657754011,0.026737967914438502,0.0,0.0,0.1276595744680851,0.3475177304964539,0.20567375886524822,0.05177466623249756,0.5826006239701444,0.41263188046683524
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.06,0.18,0.7723004694835681,0.4357615894039735,0.09518716577540107,0.09732620320855614,0.0,0.0,0.40625,0.36160714285714285,0.13839285714285715,0.045913383262780855,0.593384280640471,0.32715863155567276
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.12,0.18,0.7570754716981132,0.43087248322147653,0.0877005347593583,0.11550802139037433,0.0,0.0,0.5023255813953489,0.29767441860465116,0.14883720930232558,0.045262129599479,0.5967491117559818,0.3380991462360001
silver,metallic,0.43821356237309517,21,13,0.22,0.55,21,0.2,0.18,0.7396593673965937,0.4251748251748252,0.09411764705882353,0.1411764705882353,0.0,0.0,0.6285714285714286,0.35714285714285715,0.15714285714285714,0.040377727124715074,0.5955457084755857,0.32358441707042124
silver,metallic,0.43821356237309517,21,13,0.22,0.7,13,0.12,0.3,0.8213507625272332,0.45095693779904306,0.07593582887700535,0.029946524064171122,0.0,0.0,0.19444444444444445,0.25,0.4027777777777778,0.053728427222403126,0.5831561941148788,0.4508460217476577
