flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
bounded_cf_2,bounded_cf,slot_break,0.7737125794693851,0.7535211267605634,0.42971887550200805,0.1082529474812433,0.09110396570203644,0.35,0.35,0.06363636363636363,0.0,0.65,0.1045262129599479,0.5392597194432887,0.017226720546677177
random_cf_1,random_cf,real,0.8051819602023711,0.7262443438914027,0.42070773263433814,0.0801317233809001,0.08232711306256861,0.5324675324675324,0.5324675324675324,0.08441558441558442,0.0,0.4675324675324675,0.08531422989254314,0.5938230461147511,0.0
random_cf_1,random_cf,shuffled_similarity,0.6718857252702017,0.7426636568848759,0.4261658031088083,0.0845225027442371,0.06805708013172337,0.1949685534591195,0.1949685534591195,0.06289308176100629,0.0,0.8050314465408805,0.0882448713774015,0.5913097864742403,0.13329623493216936
random_cf_1,random_cf,random_tint,0.7464070797201747,0.7246049661399548,0.4201570680628272,0.07903402854006586,0.08232711306256861,0.5324675324675324,0.5324675324675324,0.08441558441558442,0.2922077922077922,0.4675324675324675,0.08531422989254314,0.5936313155786475,0.05877488048219637
random_cf_1,random_cf,slot_break,0.8090191171248727,0.7431818181818182,0.42633637548891784,0.08342480790340286,0.07464324917672886,0.4827586206896552,0.4827586206896552,0.08275862068965517,0.0,0.5172413793103449,0.08531422989254314,0.5930698168746358,-0.003837156922501639
fib_13_21,rational,real,0.7397221465218317,0.7065217391304348,0.4140127388535032,0.04472843450479233,0.11927582534611289,0.3795180722891566,0.3795180722891566,0.22289156626506024,0.0,0.6204819277108434,0.10159557147508955,0.5961654602544839,0.0
fib_13_21,rational,shuffled_similarity,0.6351075043423614,0.741304347826087,0.4257178526841448,0.04153354632587859,0.10543130990415335,0.22424242424242424,0.22424242424242424,0.13333333333333333,0.0,0.7757575757575758,0.10550309345490068,0.36346905677651176,0.10461464217947025
fib_13_21,rational,random_tint,0.6534517446662319,0.7120879120879121,0.4159178433889602,0.04792332268370607,0.12247071352502663,0.36809815950920244,0.36809815950920244,0.2331288343558282,0.22085889570552147,0.6319018404907976,0.09996743731683491,0.3698101324437194,0.08627040185559975
fib_13_21,rational,slot_break,0.738588091611657,0.7124183006535948,0.41603053435114506,0.042598509052183174,0.12034078807241747,0.36257309941520466,0.36257309941520466,0.19298245614035087,0.0,0.6374269005847953,0.10289807880169326,0.5941819252192067,0.0011340549101747088
pi_mod1,constant,real,0.7974653733084673,0.7769953051643192,0.4372523117569353,0.06745182012847965,0.12205567451820129,0.41148325358851673,0.41148325358851673,0.10526315789473684,0.0,0.5885167464114832,0.10615434711820254,0.5339453084849604,0.0
pi_mod1,constant,shuffled_similarity,0.680942714481979,0.7545045045045045,0.4300385109114249,0.06852248394004283,0.0974304068522484,0.23043478260869565,0.23043478260869565,0.08695652173913043,0.0,0.7695652173913043,0.10582872028655162,0.5302981131464317,0.11652265882648838
pi_mod1,constant,random_tint,0.7792835551266492,0.7769953051643192,0.4372523117569353,0.06745182012847965,0.12205567451820129,0.41148325358851673,0.41148325358851673,0.10526315789473684,0.09090909090909091,0.5885167464114832,0.10615434711820254,0.5339453084849604,0.018181818181818188
pi_mod1,constant,slot_break,0.7913545044318978,0.7632183908045977,0.43285528031290743,0.06316916488222699,0.11563169164882227,0.3881278538812785,0.3881278538812785,0.091324200913242,0.0,0.6118721461187214,0.10485183979159883,0.5330290964822875,0.006110868876569531
