name,family,alpha,window_size,phase,window_mode,drift_scale,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,tradeoff_score
bronze,bronze,0.30277563773199456,0.34,0.0,double,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.005555555555555556,180,2.2703855235673416
bronze,bronze,0.30277563773199456,0.34,0.17,moving,0.03,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.4476582508400693
bronze,bronze,0.30277563773199456,0.34,0.17,moving,0.07,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.247658250840069
bronze,bronze,0.30277563773199456,0.34,0.17,moving,0.11,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.4476582508400693
bronze,bronze,0.30277563773199456,0.34,0.17,double,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.005555555555555556,180,2.2703855235673416
bronze,bronze,0.30277563773199456,0.47,0.0,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
bronze,bronze,0.30277563773199456,0.47,0.0,moving,0.07,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
bronze,bronze,0.30277563773199456,0.47,0.0,moving,0.11,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3840218872037053
bronze,bronze,0.30277563773199456,0.47,0.0,double,0.0,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
bronze,bronze,0.30277563773199456,0.47,0.17,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
bronze,bronze,0.30277563773199456,0.47,0.17,moving,0.07,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
bronze,bronze,0.30277563773199456,0.47,0.17,moving,0.11,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3840218872037053
bronze,bronze,0.30277563773199456,0.47,0.17,double,0.0,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,moving,0.07,0.18181818181818182,3.0,0.22736294004534327,0.5838068497159405,0.0,257,2.3473011079829265
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,moving,0.11,0.09090909090909091,4.0,0.22669710197716145,0.5487747101383464,0.0,257,2.0424663972391244
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,double,0.0,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0196078431372549,51,2.3594229567224216
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,moving,0.07,0.18181818181818182,3.0,0.22736294004534327,0.5838068497159405,0.0,257,2.3473011079829265
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,moving,0.11,0.09090909090909091,4.0,0.22669710197716145,0.5487747101383464,0.0,257,2.0424663972391244
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,double,0.0,0.18181818181818182,2.0,0.2721072582271615,0.6945211354302263,0.0196078431372549,51,2.3594229567224216
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,moving,0.07,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,moving,0.11,0.09090909090909091,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.1890218872037055
