mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,groove_gain,groove_decay,phase_gain,relation_gain,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,groove_rate,relation_rate,phase_hit_rate,total_groove,max_groove,pollution,phase_lock_resistance,score
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,386.0,811.0,0.4759556103575832,0.32247284878863824,0.10671641791044777,0.0,0.9029850746268657,0.0,0.0,2.9991228855601975,0.2758587858030641,0.06121784435037447,0.4829033532884073,0.5245811929174201
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,388.0,781.0,0.4967989756722151,0.3319076133447391,0.12331838565022421,0.0029895366218236174,0.8834080717488789,0.0,0.0,2.921252461768093,0.4158528411067623,0.07359166395310973,0.5423807833419609,0.5361712505549098
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,557.0,1009.0,0.5520317145688801,0.3556832694763729,0.11273957158962795,0.004509582863585118,0.9205186020293122,0.0,0.0,3.848198357898466,0.5745893178064034,0.09443178117876913,0.39181461016749364,0.5251210424267838
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,362.0,750.0,0.4826666666666667,0.3255395683453237,0.16265060240963855,0.0,0.8637048192771084,0.0,0.0,2.7723282501871216,0.21130137933590093,0.095083034842071,0.41970833943516317,0.5109148795499766
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,368.0,712.0,0.5168539325842697,0.34074074074074073,0.19282511210762332,0.0,0.8228699551569507,0.0,0.0,2.971219378478897,0.26127924107778494,0.10387495929664604,0.5582370372722625,0.5370562665492389
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,360.0,714.0,0.5042016806722689,0.33519553072625696,0.2026726057906459,0.0,0.8166295471417966,0.0,0.0,2.884610074467465,0.24824907382848915,0.11071312276131554,0.4922280656595768,0.5232136396169048
slot_stack,golden,phi,0.5820339887498948,-0.036,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,261.0,478.0,0.5460251046025104,0.3531799729364005,0.21382978723404256,0.0,0.41808510638297874,0.0,0.0,1.1244537657968283,0.122043352515343,0.060240963855421686,0.497259901801164,0.527060136674383
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,254.0,479.0,0.5302713987473904,0.34652114597544337,0.21938232161874335,0.0,0.3855165069222577,0.0,0.0,1.2332575329834483,0.17535139271466862,0.06447411266688376,0.5030649567472278,0.5143489384252384
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,246.0,454.0,0.5418502202643172,0.3514285714285714,0.2537313432835821,0.0,0.44136460554371004,0.0,0.0,1.1573990111611432,0.11501380050660324,0.06935851514164768,0.5519192365444914,0.5380144910457968
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,347.0,633.0,0.5481832543443917,0.35408163265306125,0.18739635157545606,0.0,0.42371475953565507,0.0,0.0,1.5107907031428691,0.10075321923934394,0.10289807880169326,0.40431836938957344,0.5138293603693128
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,236.0,427.0,0.5526932084309133,0.3559577677224736,0.28938906752411575,0.0,0.3890675241157556,0.0,0.0,1.1046043719785816,0.0777710892708332,0.07684793226961902,0.43810957905630343,0.5056033775298537
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,243.0,438.0,0.5547945205479452,0.3568281938325991,0.27398720682302774,0.0,0.3976545842217484,0.0,0.0,1.1816997655492123,0.09733137970543856,0.07880169325952459,0.5812858658668976,0.5308182536312688
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,21,0.22,0.3,0.992,0.1,0.985,0.32,0.36,0.54,1.2,240.0,432.0,0.5555555555555556,0.35714285714285715,0.29559748427672955,0.0,0.3553459119496855,0.0,0.0,1.1186886971346541,0.10874236569015883,0.07815043959622273,0.5104242089548816,0.5068857530622624
slot_stack,golden,phi,0.5820339887498948,-0.036,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,137.0,945.0,0.14497354497354498,0.1266173752310536,0.20441176470588235,0.0,0.4727941176470588,0.0,0.0,1.6274840982681735,0.12254446937196438,0.022142624552263106,0.45895353577417597,0.4361341021906547
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,120.0,915.0,0.13114754098360656,0.11594202898550725,0.22761194029850745,0.0,0.46567164179104475,0.0,0.0,1.6661793808667764,0.09746016808279744,0.02377075871051775,0.4663200410656755,0.43199488236753375
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,141.0,889.0,0.15860517435320584,0.13689320388349516,0.23019431988041852,0.0,0.4633781763826607,0.0,0.0,1.622918034315607,0.22110676421802336,0.028980788016932595,0.5315149157979888,0.4486459191605873
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,252.0,1177.0,0.2141036533559898,0.17634709587123862,0.19447576099210823,0.0,0.5901916572717024,0.0,0.0,2.137887976610259,0.21204231780484,0.046890263757733634,0.4002153712490101,0.44440418509856294
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,113.0,809.0,0.13967861557478367,0.12255965292841649,0.3057228915662651,0.0,0.4420180722891566,0.0,0.0,1.5401823612150676,0.102738543785842,0.035818951481602086,0.40628327848694434,0.41746402097618396
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,117.0,800.0,0.14625,0.12758996728462377,0.3146487294469357,0.0,0.4252615844544096,0.0,0.0,1.6506774324882765,0.10463772103755546,0.03647020514490394,0.43841412419423664,0.41863282286933995
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,21,0.3,0.18,0.992,0.1,0.985,0.32,0.36,0.72,1.6,112.0,794.0,0.14105793450881612,0.12362030905077263,0.3273942093541203,0.0,0.4046028210838901,0.0,0.0,1.602561152481925,0.08834577861656646,0.03614457831325301,0.4804534720621031,0.41682999623347466
slot_stack,golden,phi,0.5820339887498948,-0.036,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,195.0,791.0,0.24652338811630847,0.19776876267748478,0.275,0.0,0.7625,0.0,0.0,4.896522659538924,0.2546324474079628,0.03809833930315858,0.45480011166105194,0.45667204812578216
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,160.0,793.0,0.201765447667087,0.16789087093389296,0.28880597014925374,0.0,0.7701492537313432,0.0,0.0,4.934211581949163,0.17560292733401386,0.03451644415499837,0.4691814756905329,0.4467586513785857
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,190.0,719.0,0.26425591098748263,0.20902090209020902,0.32062780269058294,0.0,0.680119581464873,0.0,0.0,4.880459442892214,0.32955370665239064,0.04656463692608271,0.5348313344805833,0.46982372956542595
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,21,0.3,0.3,0.975,0.1,0.995,0.16,0.36,0.72,1.6,345.0,1072.0,0.3218283582089552,0.24347212420606917,0.2012401352874859,0.0,0.9684329199549042,0.0,0.0,6.354350979745714,0.7165130152673105,0.05014653207424292,0.4011399679697991,0.47094852687533517
