anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,rigidity_after_perturbation,center_share,composite_score,surrogate_gap
noble_b,noble_anchor,torus_counter_flow,-0.042,0.0,0.5341289661137432,0.5,0.08960198350739237,0.11947493446920052,5.843456140767477,0.3412187191465517,0.9912109375,0.9088134765625,0.6831004290189573,-0.07734831656688423
noble_b,noble_anchor,sphere_projected_torus,0.029999999999999978,0.375,0.4072858045907799,0.9989143247099697,0.02617487101661891,0.39063985980583876,2.4293320303614907,0.2265790688131737,0.96734619140625,0.8253173828125,0.8514832963585246,-0.10735423129674815
bounded_probe,bounded_anchor,flat_ternary,0.032999999999999974,0.625,0.5649979747624035,0.9995901639344262,0.2718375734303413,0.3993267649705282,3.880988461410001,0.31019119659859884,0.9676513671875,0.82403564453125,0.8671484216800779,-0.10036168070591778
bounded_probe,bounded_anchor,torus_single_flow,-0.06,0.75,0.5740096651308633,0.5,0.08953380351652282,0.14508178030625102,5.772158623404376,0.3303314091373468,0.9913330078125,0.91119384765625,0.7002856508133501,-0.06966710316143765
bounded_probe,bounded_anchor,torus_counter_flow,-0.06,0.625,0.5687642952362203,0.5,0.09243757896222451,0.14599056922693546,5.784950333458037,0.3320522664373483,0.9910888671875,0.911376953125,0.6984496992618543,-0.10986614967307462
bounded_probe,bounded_anchor,sphere_projected_torus,0.029999999999999978,0.625,0.5686455958582649,0.9985081275338655,0.19203589846487418,0.3693647991662665,4.248097178865359,0.24973319117515097,0.96826171875,0.823974609375,0.8726733222617603,-0.09282332413839878
random_bad_cf,random_bounded_cf,flat_ternary,0.011999999999999983,0.5,0.4185998338877035,0.9973699289830176,0.25223375658598424,0.433434279696134,3.3503851639881304,0.14680748688684914,0.9683837890625,0.822265625,0.8104180680695465,-0.15806110168424137
random_bad_cf,random_bounded_cf,torus_single_flow,-0.054,0.75,0.5248863051164429,0.5,0.070926106989425,0.13155550763085905,5.7417382634781005,0.3205368421600696,0.9903564453125,0.9119873046875,0.6832614305351763,-0.12209703741489852
random_bad_cf,random_bounded_cf,torus_counter_flow,-0.054,0.625,0.525440577508776,0.5,0.07401500174974454,0.12871755795695944,5.741344613156548,0.30424902777207685,0.99163818359375,0.91314697265625,0.6814196028191386,-0.05260920750994824
random_bad_cf,random_bounded_cf,sphere_projected_torus,0.008999999999999984,0.5,0.5642745748700075,0.9981194732578922,0.20350868403450365,0.4332109586644392,3.975132721830182,0.1418796535625838,0.96771240234375,0.82366943359375,0.8694713359876577,-0.09630093439104626
pi_mod1,constant_control,flat_ternary,0.02399999999999998,0.5,0.5876485994843426,0.9995967741935484,0.01109532021802078,0.396360972413181,2.7019614361702127,0.19289097876458816,0.96795654296875,0.823974609375,0.9148071905710287,-0.05417283896403313
pi_mod1,constant_control,torus_single_flow,-0.01800000000000001,0.0,0.5635801906284659,0.5,0.044027383277116985,0.11925610780959242,5.767516753949938,0.3059751311081411,0.99114990234375,0.91290283203125,0.6987347733250822,-0.017071245232787136
pi_mod1,constant_control,torus_counter_flow,-0.036000000000000004,0.0,0.42846495991861916,0.5,0.04106908848016127,0.1229888760166446,5.916859931684312,0.30121706519355296,0.99127197265625,0.9122314453125,0.6537286211246668,-0.13515793753923866
pi_mod1,constant_control,sphere_projected_torus,-0.024000000000000007,0.25,0.4148974521299251,0.9985726196150289,0.12194837830441377,0.4365796980476301,3.21871493174658,0.38415668405908154,0.9683837890625,0.82354736328125,0.8597581779780563,-0.1258988567053999
e_mod1,constant_control,flat_ternary,0.04799999999999997,0.625,0.55173006340546,0.7462012365029607,0.036788358334410964,0.2522409067055861,4.055960020598178,0.336427448735261,0.96722412109375,0.8238525390625,0.8147281736234595,-0.1625348730349223
e_mod1,constant_control,torus_single_flow,-0.056999999999999995,0.75,0.5853415789939632,0.5,0.09680602402781599,0.1408129402822508,5.816416829011242,0.31870332792934897,0.9908447265625,0.911865234375,0.7007136421537707,-0.05692415480072066
e_mod1,constant_control,torus_counter_flow,-0.056999999999999995,0.75,0.5850620038471326,0.5,0.09115436226427845,0.13570066548722337,5.8903058463152655,0.30829891430743966,0.9912109375,0.91180419921875,0.6998161939382773,-0.00725542407664137
e_mod1,constant_control,sphere_projected_torus,0.03899999999999998,0.0,0.42063656449007014,0.6183347504304393,0.05542608076854652,0.17936753328393107,5.32684353317915,0.125653486689773,0.96759033203125,0.82293701171875,0.6963390737123041,-0.27408466828093647
fib_13_21,rational_control,flat_ternary,-0.030000000000000006,0.5,0.5434143499942985,0.9984285716770506,0.1813957274558925,0.4341481169759096,2.771420071340615,0.30497500702683034,0.9683837890625,0.8233642578125,0.8834487725809077,-0.09388119236906978
fib_13_21,rational_control,torus_single_flow,-0.024000000000000007,0.0,0.577444552731631,0.5,0.13187903087028302,0.11921990537869388,5.674443185884893,0.31897076214343295,0.98992919921875,0.91021728515625,0.6870516741797428,-0.11939408281549546
fib_13_21,rational_control,torus_counter_flow,-0.01500000000000001,0.0,0.5086374261185516,0.5,0.12361789365961381,0.11828579111949966,5.7087144270439225,0.3320140065850795,0.990966796875,0.91290283203125,0.6624470430061732,-0.1488490824613371
fib_13_21,rational_control,sphere_projected_torus,-0.06,0.75,0.5737037113218614,0.9992172772914762,0.008986588821575141,0.443280724746703,3.491674105823301,0.3002240906439797,0.96783447265625,0.8238525390625,0.9295683177517506,-0.04551803947152089
