anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_closure_age,memory_capacity,write_count,release_count,witness_expired,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,phase_lock_resistance,symmetry_balance,rigidity_after_perturbation,center_share,composite_score,surrogate_base_score
golden,phi_anchor,flat_ternary,Flat Ternary,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.011,4096,4,34,231.0,3478.0,0.0,1.0,0.0,0.3737864077669903,2.0,0.0,0.29260772050697403,0.9967637540453075,0.9677734375,0.84912109375,0.7933837098226947,0.6467681783704293
golden,phi_anchor,flat_ternary,Flat Ternary,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.011,4096,4,34,183.0,3481.0,0.0,1.0,0.0,0.2975609756097561,2.0,0.0,0.5111359809916007,0.9983739837398374,0.9677734375,0.849853515625,0.8540432520838923,0.7073472091469004
golden,phi_anchor,flat_ternary,Flat Ternary,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.011,4096,4,34,136.0,3478.0,0.0,1.0,0.25735294117647056,0.22006472491909385,2.0,0.0,0.5610413575232425,0.9935275080906149,0.96875,0.84912109375,0.805446499212576,0.6588951238080453
golden,phi_anchor,flat_ternary,Flat Ternary,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.011,4096,4,34,109.0,3473.0,0.0,0.990909090909091,0.7981651376146789,0.17495987158908508,3.0,0.0,0.6075593764024978,0.9951845906902087,0.969482421875,0.847900390625,0.7025919545165047,0.5558844827944943
golden,phi_anchor,flat_ternary,Flat Ternary,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.011,4096,4,34,181.0,3477.0,0.0,0.9945054945054945,0.20441988950276244,0.2924071082390953,3.0,0.0,0.4024136382871485,0.9983844911147012,0.96728515625,0.848876953125,0.7736792172423889,0.6270314770616537
golden,phi_anchor,flat_ternary,Flat Ternary,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.011,4096,4,34,256.0,3476.0,0.0,1.0,0.0,0.4129032258064516,3.0,0.0,0.5788971135855898,0.9935483870967742,0.968505859375,0.8486328125,0.8976756045566004,0.7511475992642618
golden,phi_anchor,flat_ternary,Flat Ternary,0.6300339887498948,0.011999999999999983,0.18,0.0,0.011,4096,4,34,276.0,3508.0,0.0,1.0,0.0,0.46938775510204084,3.0,0.0,0.32129163349482237,0.9931972789115646,0.9716796875,0.8564453125,0.8205567840021852,0.673728951306607
golden,phi_anchor,flat_ternary,Flat Ternary,0.6360339887498948,0.01799999999999998,0.18,0.0,0.011,4096,4,34,195.0,3537.0,0.0,1.0,0.0,0.3488372093023256,3.0,0.0,0.25657221199441194,0.9946332737030411,0.964599609375,0.863525390625,0.7762168743751707,0.6300252497525187
golden,phi_anchor,flat_ternary,Flat Ternary,0.6420339887498948,0.02399999999999998,0.18,0.0,0.011,4096,4,34,144.0,3478.0,0.0,1.0,0.0,0.23300970873786409,3.0,0.0,0.5816700066282428,1.0,0.969482421875,0.84912109375,0.8666577920139182,0.7197095498264182
golden,phi_anchor,flat_ternary,Flat Ternary,0.6480339887498948,0.029999999999999978,0.18,0.0,0.011,4096,4,34,71.0,3476.0,0.0,1.0,0.0,0.11451612903225807,3.0,0.0,0.5577380433835366,0.9967741935483871,0.967041015625,0.8486328125,0.8367866492161283,0.690243837976209
golden,phi_anchor,flat_ternary,Flat Ternary,0.6540339887498947,0.035999999999999976,0.18,0.0,0.011,4096,4,34,0.0,3476.0,0.0,0.0,0.0,0.0,4.0,0.0,0.29672584846836825,1.0,0.96875,0.8486328125,0.4477617884792452,0.3008867884792452
golden,phi_anchor,flat_ternary,Flat Ternary,0.6600339887498947,0.041999999999999975,0.18,0.0,0.011,4096,4,34,0.0,3478.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6076647492687148,0.9967637540453075,0.96826171875,0.84912109375,0.5532703743286284,0.40660601475136304
golden,phi_anchor,flat_ternary,Flat Ternary,0.6660339887498947,0.04799999999999997,0.18,0.0,0.011,4096,4,34,0.0,3477.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5794312992295465,0.9983844911147012,0.96826171875,0.848876953125,0.5437520381687809,0.39700664173804584
