flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,13,0.72,0.14,5,1.8,0.08,0.08,0.24,0.7228661749209695,0.41957186544342506,0.00846979107848673,0.06832298136645963,0.5133446905167518,0.2226007950028393,0.5133446905167518,0.06473594548551959,0.14366837024417944,0.48665530948324814,5.76171875,0.08661673721914685,0.4380783564152977,0.7580677920590221
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,8,0.55,0.08,5,1.8,0.08,0.04,0.24,0.752127659574468,0.42926533090467517,0.007905138339920948,0.062111801242236024,0.5025553662691652,0.2271436683702442,0.5025553662691652,0.05792163543441227,0.14366837024417944,0.49744463373083475,5.76171875,0.09182676652556171,0.4414652316318045,0.7664085427065319
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.08,0.36,0.8701007838745801,0.46526946107784434,0.005081874647092038,0.05194805194805195,0.5085324232081911,0.25881683731513083,0.5085324232081911,0.04778156996587031,0.14391353811149032,0.49146757679180886,3.45703125,0.10550309345490068,0.4679247323670537,0.7971451764383912
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,8,0.55,0.08,3,1.2,0.08,0.04,0.36,0.7173252279635258,0.4176991150442478,0.006775832862789385,0.03613777526821005,0.4253472222222222,0.11053240740740741,0.4253472222222222,0.037037037037037035,0.0,0.5746527777777778,3.45703125,0.09117551286225985,0.45323400736782693,0.7697311121338835
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,13,0.72,0.14,3,1.2,0.14,0.04,0.36,0.8094218415417559,0.44733727810650886,0.005081874647092038,0.040654997176736304,0.43410404624277454,0.1393063583815029,0.43410404624277454,0.04046242774566474,0.0,0.5658959537572255,3.45703125,0.0986649299902312,0.45973302658847526,0.7902762700827187
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.14,13,0.72,0.08,3,1.2,0.14,0.08,0.36,0.8519337016574585,0.46002386634844866,0.005081874647092038,0.048560135516657256,0.46424452133794697,0.16032295271049596,0.46424452133794697,0.04555940023068051,0.0,0.5357554786620531,3.45703125,0.10322370563334418,0.4663341355611652,0.8050271061248951
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.14,8,0.72,0.14,5,1.2,0.14,0.08,0.24,0.7218124341412012,0.41921664626682986,0.007905138339920948,0.06945228684359118,0.4293015332197615,0.17149346961953435,0.4293015332197615,0.06360022714366836,0.0,0.5706984667802385,5.76171875,0.08661673721914685,0.43583434094257123,0.7666910074979839
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.14,13,0.72,0.14,5,1.8,0.08,0.04,0.24,0.7342436974789915,0.42337976983646275,0.009034443817052512,0.058723884810841336,0.4349801249290176,0.17660420215786485,0.4349801249290176,0.055650198750709826,0.0,0.5650198750709824,5.76171875,0.09117551286225985,0.438523418931797,0.7736556754294629
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,8,0.72,0.14,3,1.8,0.14,0.08,0.36,0.9146482122260668,0.47771084337349395,0.005081874647092038,0.05759457933370977,0.4283276450511945,0.2150170648464164,0.4283276450511945,0.04835039817974972,0.0,0.5716723549488054,3.45703125,0.10550309345490068,0.46953740802631316,0.814048202901376
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,8,0.55,0.08,5,1.2,0.14,0.08,0.36,0.752741774675972,0.42946530147895334,0.005081874647092038,0.002258610954263128,0.3583191368540602,0.11300397501419648,0.3583191368540602,0.0017035775127768314,0.0,0.6416808631459399,5.76171875,0.10029306414848584,0.4373248939775106,0.7519807674945512
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,8,0.72,0.14,5,1.8,0.08,0.04,0.36,0.7334649555774926,0.42312072892938496,0.005081874647092038,0.0033879164313946925,0.35661555934128336,0.10505394662123793,0.35661555934128336,0.0034071550255536627,0.0,0.6433844406587166,5.76171875,0.09605991533702377,0.43978316252297034,0.7466377430776273
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,13,0.72,0.08,5,1.2,0.08,0.08,0.24,0.6590229312063809,0.3972355769230769,0.017504234895539244,0.04291360813099943,0.37485779294653016,0.10068259385665529,0.37485779294653016,0.04323094425483504,0.0,0.6251422070534699,5.76171875,0.0846629762292413,0.4343800277025627,0.7285446297375415
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,13,0.72,0.08,3,1.2,0.08,0.08,0.24,0.8048245614035088,0.4459295261239368,0.004517221908526256,0.0660643704121965,0.3817762399077278,0.10784313725490197,0.3817762399077278,0.06689734717416378,0.0,0.6182237600922722,3.45703125,0.09833930315858026,0.472747488524483,0.7554488117313272
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,8,0.72,0.08,3,1.8,0.08,0.08,0.24,0.8527746319365799,0.46026894865525675,0.004517221908526256,0.07171089779785432,0.37341040462427744,0.10867052023121387,0.37341040462427744,0.06936416184971098,0.0,0.6265895953757226,3.45703125,0.10550309345490068,0.4736799147974128,0.7584087080385592
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,13,0.72,0.08,3,1.2,0.14,0.04,0.24,0.8940628637951106,0.47203441917639827,0.004517221908526256,0.07679277244494635,0.3773041474654378,0.13248847926267282,0.3773041474654378,0.07258064516129033,0.0,0.6226958525345622,3.45703125,0.10029306414848584,0.47663113064928775,0.7695066135222207
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,13,0.55,0.08,5,1.2,0.08,0.08,0.24,0.6598240469208211,0.39752650176678445,0.009599096555618294,0.03162055335968379,0.360022714366837,0.1260647359454855,0.360022714366837,0.03180011357183418,0.0,0.639977285633163,5.76171875,0.08726799088244871,0.4345872080687333,0.7276008152982664
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,13,0.72,0.08,5,1.8,0.08,0.04,0.36,0.7232580961727183,0.41970387243735763,0.005081874647092038,0.0033879164313946925,0.380465644520159,0.15843270868824533,0.380465644520159,0.0034071550255536627,0.0,0.619534355479841,5.76171875,0.09768804949527841,0.4370385848832301,0.7632870502798588
