flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,frame_shift_rate,score
bounded_cf_2,bounded_cf,overwash_frame,0.8755656108597285,0.46682750301568154,0.010718113612004287,0.1007502679528403,0.942080378250591,0.2860520094562648,0.942080378250591,0.08274231678486997,0.0,0.057919621749408984,1.8203125,0.3033854166666667,0.2760416666666667,0.1474609375,0.11820253988928688,0.5536496833008178,0.942080378250591,0.7780151511251439
bounded_cf_2,bounded_cf,random_frame,0.8549450549450549,0.4609004739336493,0.011789924973204717,0.08360128617363344,0.9389952153110048,0.27631578947368424,0.9389952153110048,0.07057416267942583,0.0,0.061004784688995214,1.8203125,0.3033854166666667,0.2760416666666667,0.14322916666666666,0.11950504721589059,0.5496450638566122,0.9389952153110048,0.7772428907856247
random_cf_1,random_cf,balanced_frame,0.8855140186915887,0.46964064436183395,0.015367727771679473,0.09879253567508232,0.8900709219858156,0.2647754137115839,0.8900709219858156,0.08274231678486997,0.0,0.1099290780141844,1.7734375,0.17350260416666666,0.2565104166666667,0.15201822916666666,0.0941061543471182,0.6032301005512202,0.8900709219858156,0.7871253377954732
random_cf_1,random_cf,rigid_core,0.8888888888888888,0.47058823529411764,0.021953896816684963,0.08232711306256861,0.8907363420427553,0.27434679334916867,0.8907363420427553,0.07600950118764846,0.0,0.10926365795724466,1.7734375,0.17350260416666666,0.2421875,0.15006510416666666,0.0963855421686747,0.6033203956819779,0.0,0.7902671674087399
random_cf_1,random_cf,touchup_frame,0.8822170900692841,0.4687116564417178,0.018660812294182216,0.0867178924259056,0.8886255924170616,0.2677725118483412,0.8886255924170616,0.07582938388625593,0.0,0.11137440758293839,1.7734375,0.17350260416666666,0.2574869791666667,0.15201822916666666,0.09443178117876913,0.604643980857255,0.004739336492890996,0.7898243124319002
random_cf_1,random_cf,overwash_frame,0.8855140186915887,0.46964064436183395,0.013172338090010977,0.10098792535675083,0.8871733966745843,0.2814726840855107,0.8871733966745843,0.08194774346793349,0.0,0.11282660332541568,1.7734375,0.17350260416666666,0.2584635416666667,0.1494140625,0.09540866167372192,0.6042773586538375,0.8871733966745843,0.7897704020979988
random_cf_1,random_cf,random_frame,0.8706697459584296,0.4654320987654321,0.014270032930845226,0.09659714599341383,0.8908659549228944,0.2669039145907473,0.8908659549228944,0.07947805456702253,0.0,0.10913404507710557,1.7734375,0.17350260416666666,0.2574869791666667,0.14908854166666666,0.09312927385216542,0.6034929661709088,0.8908659549228944,0.7856821489367025
fib_13_21,rational,balanced_frame,0.7101123595505618,0.4152431011826544,0.0010649627263045794,0.18849840255591055,0.9921671018276762,0.20757180156657964,0.9921671018276762,0.0783289817232376,0.0,0.007832898172323759,3.0533854166666665,0.3050130208333333,0.2737630208333333,0.0,0.09443178117876913,0.38201175927638253,0.9921671018276762,0.6962713781233439
fib_13_21,rational,rigid_core,0.7639198218262806,0.43308080808080807,0.003194888178913738,0.15335463258785942,0.9900497512437811,0.21641791044776118,0.9900497512437811,0.06840796019900497,0.0,0.009950248756218905,3.0533854166666665,0.3050130208333333,0.2659505208333333,0.0,0.10289807880169326,0.38320816761422094,0.0,0.7103562086329762
fib_13_21,rational,touchup_frame,0.7433035714285714,0.4263764404609475,0.002129925452609159,0.16613418530351437,0.9897172236503856,0.2133676092544987,0.9897172236503856,0.07326478149100257,0.0,0.010282776349614395,3.0533854166666665,0.3050130208333333,0.2734375,0.0,0.09931618365353305,0.3829037288073228,0.0,0.7050871118852721
fib_13_21,rational,overwash_frame,0.6862302483069977,0.4069611780455154,0.0010649627263045794,0.20340788072417465,0.9919786096256684,0.20320855614973263,0.9919786096256684,0.08689839572192513,0.0,0.008021390374331552,3.0533854166666665,0.3050130208333333,0.2766927083333333,0.0,0.090524259198958,0.3827074424423166,0.9919786096256684,0.6888944596471624
fib_13_21,rational,random_frame,0.7278911564625851,0.421259842519685,0.002129925452609159,0.18636847710330137,0.9909677419354839,0.20516129032258065,0.9909677419354839,0.08387096774193549,0.0,0.00903225806451613,3.0533854166666665,0.3050130208333333,0.2740885416666667,0.0,0.09540866167372192,0.3860752503220638,0.9909677419354839,0.6980397594940286
pi_mod1,constant,balanced_frame,0.8909853249475891,0.47117516629711753,0.004282655246252677,0.029978586723768737,0.9611307420494699,0.26148409893992935,0.9611307420494699,0.009422850412249705,0.0,0.038869257950530034,3.037109375,0.2740885416666667,0.2835286458333333,0.11751302083333333,0.13383262780853142,0.5301653277868068,0.9611307420494699,0.7927022748684104
pi_mod1,constant,rigid_core,0.8900414937759336,0.47091108671789245,0.008565310492505354,0.016059957173447537,0.9657615112160567,0.2644628099173554,0.9657615112160567,0.0035419126328217238,0.0,0.03423848878394333,3.037109375,0.2740885416666667,0.2815755208333333,0.11783854166666667,0.13546076196678605,0.5274584345683289,0.0,0.7937356572419534
pi_mod1,constant,touchup_frame,0.8881987577639752,0.47039473684210525,0.006423982869379015,0.017130620985010708,0.9662398137369034,0.26542491268917345,0.9662398137369034,0.0034924330616996507,0.0,0.033760186263096625,3.037109375,0.2740885416666667,0.2858072916666667,0.11946614583333333,0.13318137414522957,0.527162115061397,0.0,0.7937686824291132
pi_mod1,constant,overwash_frame,0.9006342494714588,0.4738598442714127,0.004282655246252677,0.033190578158458245,0.9611307420494699,0.2661955241460542,0.9611307420494699,0.009422850412249705,0.0,0.038869257950530034,3.037109375,0.2740885416666667,0.2838541666666667,0.11686197916666667,0.13285574731357863,0.5311734912023653,0.9611307420494699,0.794937496484112
pi_mod1,constant,random_frame,0.8775933609958506,0.46740331491712706,0.004282655246252677,0.02676659528907923,0.9644970414201184,0.26745562130177514,0.9644970414201184,0.009467455621301775,0.0,0.03550295857988166,3.037109375,0.2740885416666667,0.2845052083333333,0.11751302083333333,0.13253012048192772,0.5286832245177353,0.9644970414201184,0.7904217794882564
