flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,lens_shift_rate,score
random_cf_1,random_cf,balanced_lens,0.8367816091954023,0.4555694618272841,0.015367727771679473,0.10757409440175632,0.9079903147699758,0.2627118644067797,0.9079903147699758,0.07263922518159806,0.06416464891041163,0.09200968523002422,1.7734375,0.17350260416666666,0.255859375,0.14713541666666666,0.090524259198958,0.608311850816194,0.6840193704600485,0.7663347059498526
random_cf_1,random_cf,overwash_lens,0.8367816091954023,0.4555694618272841,0.015367727771679473,0.10757409440175632,0.9188861985472155,0.2639225181598063,0.9188861985472155,0.07263922518159806,0.639225181598063,0.0811138014527845,1.7734375,0.17350260416666666,0.255859375,0.14713541666666666,0.090524259198958,0.608311850816194,0.9467312348668281,0.7074381303704683
random_cf_1,random_cf,random_lens,0.8348623853211009,0.455,0.01646542261251372,0.10537870472008781,0.9081015719467956,0.2623941958887545,0.9081015719467956,0.07013301088270858,0.02176541717049577,0.09189842805320435,1.7734375,0.17350260416666666,0.255859375,0.14713541666666666,0.09084988603060892,0.6082085250660834,0.41233373639661425,0.7752731739301143
fib_13_21,rational,rigid_readout,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0,0.7086363971520944
fib_13_21,rational,touchup_lens,0.7539149888143176,0.4298469387755102,0.003194888178913738,0.16187433439829607,1.0,0.2182741116751269,1.0,0.07360406091370558,0.0,0.0,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.0,0.10094431781178768,0.3862657788322078,0.5050761421319797,0.7063331341361189
fib_13_21,rational,balanced_lens,0.7539149888143176,0.4298469387755102,0.003194888178913738,0.16187433439829607,1.0,0.2182741116751269,1.0,0.07360406091370558,0.6941624365482234,0.0,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.0,0.10094431781178768,0.3862657788322078,0.9657360406091371,0.6363331341361188
fib_13_21,rational,overwash_lens,0.7539149888143176,0.4298469387755102,0.003194888178913738,0.16187433439829607,1.0,0.2182741116751269,1.0,0.07360406091370558,0.9657360406091371,0.0,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.0,0.10094431781178768,0.3862657788322078,0.9974619289340102,0.6363331341361188
fib_13_21,rational,random_lens,0.7539149888143176,0.4298469387755102,0.003194888178913738,0.16187433439829607,1.0,0.2182741116751269,1.0,0.07360406091370558,0.2982233502538071,0.0,3.0533854166666665,0.3050130208333333,0.2786458333333333,0.0,0.10094431781178768,0.3862657788322078,0.899746192893401,0.6466884640853574
pi_mod1,constant,rigid_readout,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0,0.7894763062032037
pi_mod1,constant,touchup_lens,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9727810650887574,0.26272189349112424,0.9727810650887574,0.0035502958579881655,0.0,0.027218934911242602,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.002366863905325444,0.7892734321541759
pi_mod1,constant,balanced_lens,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9763313609467456,0.26272189349112424,0.9763313609467456,0.0035502958579881655,0.040236686390532544,0.023668639053254437,3.037109375,0.2740885416666667,0.2854817708333333,0.11848958333333333,0.131227613155324,0.5271449204300005,0.7751479289940828,0.7806319403215783
pi_mod1,constant,overwash_lens,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9846153846153847,0.2650887573964497,0.9846153846153847,0.0035502958579881655,0.7715976331360946,0.015384615384615385,3.037109375,0.2740885416666667,0.2854817708333333,0.11848958333333333,0.131227613155324,0.5271449204300005,0.9822485207100592,0.7175296579885267
pi_mod1,constant,random_lens,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9763313609467456,0.26272189349112424,0.9763313609467456,0.0035502958579881655,0.001183431952662722,0.023668639053254437,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.40946745562130177,0.7884281236165597
