flow,family,alpha,best_delay,best_slot_count,context_pressure,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,pollution,phase_lock_resistance,score
silver,metallic,0.43821356237309517,21,13,0.36,21,0.2,0.3,0.7829099307159353,0.43911917098445596,0.07593582887700535,0.09839572192513368,0.0,0.0,0.431924882629108,0.6384976525821596,0.04656463692608271,0.5924640386336282,0.3469557212600162
silver,metallic,0.43821356237309517,21,13,0.36,21,0.2,0.44,0.8272727272727273,0.4527363184079602,0.06951871657754011,0.07058823529411765,0.0,0.0,0.22,0.66,0.0475415174210355,0.586329983017664,0.39292245888966887
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,13,0.06,0.3,0.8147321428571429,0.4489544895448955,0.12861736334405144,0.0,1.0,1.0,0.0,0.0,0.11885379355258874,0.5275919428023068,0.8238922407087959
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,13,0.12,0.3,0.8017817371937639,0.44499381953028433,0.12754555198285103,0.0053590568060021436,1.0,1.0,0.0,0.0,0.11722565939433409,0.5284360545377915,0.8213307163726695
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,13,0.12,0.44,0.8017817371937639,0.44499381953028433,0.12754555198285103,0.0053590568060021436,1.0,1.0,0.0,0.0,0.11722565939433409,0.5284360545377915,0.8213307163726695
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.06,0.44,0.8102678571428571,0.4475955610357583,0.12861736334405144,0.0021436227224008574,1.0,1.0,0.0,0.0,0.11820253988928688,0.5278559224423656,0.8229974255534592
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.12,0.18,0.7880794701986755,0.44074074074074077,0.12433011789924973,0.007502679528403001,1.0,1.0,0.0,0.0,0.1162487788993813,0.5288728124535234,0.8186511957761292
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.12,0.3,0.7880794701986755,0.44074074074074077,0.12433011789924973,0.007502679528403001,1.0,1.0,0.0,0.0,0.1162487788993813,0.5288728124535234,0.8186511957761292
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.2,0.18,0.7731277533039648,0.4360248447204969,0.1232583065380493,0.013933547695605574,1.0,1.0,0.0,0.0,0.11429501790947574,0.5295749393446723,0.8156262695660382
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.2,0.3,0.7731277533039648,0.4360248447204969,0.1232583065380493,0.013933547695605574,1.0,1.0,0.0,0.0,0.11429501790947574,0.5295749393446723,0.8156262695660382
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.0,21,0.2,0.44,0.7731277533039648,0.4360248447204969,0.1232583065380493,0.013933547695605574,1.0,1.0,0.0,0.0,0.11429501790947574,0.5295749393446723,0.8156262695660382
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.06,0.18,0.7247058823529412,0.4201909959072306,0.1307609860664523,0.08360128617363344,0.0,0.0,0.5238095238095238,0.006802721088435374,0.10029306414848584,0.5383836159982591,0.4236497494347449
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.06,0.3,0.7643020594965675,0.43320363164721143,0.12754555198285103,0.04608788853161844,0.0,0.0,0.24260355029585798,0.023668639053254437,0.10875936177140996,0.5322930547159999,0.4586707664076342
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.06,0.44,0.779510022271715,0.4380475594493116,0.12111468381564845,0.022508038585209004,0.0,0.0,0.10059171597633136,0.01775147928994083,0.11396939107782482,0.5330611040646553,0.504432726706721
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.12,0.18,0.7102137767220903,0.4152777777777778,0.12218649517684887,0.10610932475884244,0.0,0.0,0.6556291390728477,0.006622516556291391,0.09736242266362748,0.5400465126956295,0.4202644393974272
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.12,0.3,0.766743648960739,0.4339869281045752,0.12004287245444802,0.06002143622722401,0.0,0.0,0.31213872832369943,0.023121387283236993,0.10778248127645718,0.5382178377257683,0.4398395326725302
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.2,0.18,0.74,0.42528735632183906,0.12968917470525188,0.12433011789924973,0.0,0.0,0.7682119205298014,0.006622516556291391,0.0963855421686747,0.5394548111176782,0.42544695578888975
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,13,0.2,0.3,0.7594339622641509,0.4316353887399464,0.11682743837084673,0.08360128617363344,0.0,0.0,0.4583333333333333,0.017857142857142856,0.10485183979159883,0.5384124504066166,0.42794529366925305
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,21,0.06,0.18,0.6847058823529412,0.4064245810055866,0.12433011789924973,0.1082529474812433,0.0,0.0,0.4950980392156863,0.00980392156862745,0.09475740801042006,0.539831407885045,0.4143978527016089
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,21,0.06,0.3,0.7621247113163973,0.4325032765399738,0.1232583065380493,0.05894962486602358,0.0,0.0,0.23684210526315788,0.013157894736842105,0.10745685444480625,0.5342109624731732,0.462064692278177
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,21,0.12,0.3,0.7701421800947867,0.4350736278447122,0.12540192926045016,0.07395498392282958,0.0,0.0,0.2972972972972973,0.013513513513513514,0.10582872028655162,0.5355451265616882,0.44598236829293825
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,21,0.2,0.3,0.7433414043583535,0.4263888888888889,0.1157556270096463,0.11254019292604502,0.0,0.0,0.4792626728110599,0.013824884792626729,0.09996743731683491,0.53865948396319,0.4247143069678147
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.1,21,0.2,0.44,0.7724137931034483,0.4357976653696498,0.10932475884244373,0.06430868167202572,0.0,0.0,0.24553571428571427,0.017857142857142856,0.10941061543471182,0.5347056252050797,0.4603647396967092
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.22,13,0.06,0.18,0.7247058823529412,0.4201909959072306,0.1307609860664523,0.08360128617363344,0.0,0.0,0.5238095238095238,0.32653061224489793,0.10029306414848584,0.5383836159982591,0.352599106955531
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.22,13,0.06,0.3,0.7643020594965675,0.43320363164721143,0.12754555198285103,0.04608788853161844,0.0,0.0,0.24260355029585798,0.3076923076923077,0.10875936177140996,0.5322930547159999,0.3955543955989557
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.22,13,0.12,0.18,0.7085308056872038,0.4147018030513176,0.12111468381564845,0.10610932475884244,0.0,0.0,0.6556291390728477,0.304635761589404,0.09736242266362748,0.5398128670962485,0.35366349820585524
bounded_cf_2,bounded_cf,0.6582505321462085,21,13,0.22,13,0.12,0.3,0.7790697674418605,0.43790849673202614,0.1232583065380493,0.05680600214362272,0.0,0.0,0.3151515151515151,0.3393939393939394,0.10908498860306089,0.537989036918032,0.3711786232113931
