flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,0.12,0.08,0.36,0.8452970297029703,0.4580818242790074,0.003952569169960474,0.1541501976284585,0.41418764302059496,0.41418764302059496,0.14416475972540047,0.0,0.585812356979405,0.08987300553565614,0.4670383388899383,0.7871933065673374
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.08,0.12,0.36,0.8795620437956204,0.4679611650485437,0.003952569169960474,0.12365894974590627,0.40985442329227323,0.40985442329227323,0.14893617021276595,0.0,0.5901455767077267,0.09084988603060892,0.46686626984244295,0.7926906573584074
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,0.04,0.04,0.24,0.8290398126463701,0.4532650448143406,0.003952569169960474,0.11405985319028797,0.3787128712871287,0.3787128712871287,0.20544554455445543,0.0,0.6212871287128713,0.09475740801042006,0.4588638233438054,0.7488087059748159
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.08,0.04,0.08,0.24,0.841978287092883,0.45710543549443355,0.003952569169960474,0.13382269904009034,0.5861561119293078,0.5861561119293078,0.2960235640648012,0.3402061855670103,0.41384388807069217,0.09117551286225985,0.4645189750849581,0.6681452926548079
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.08,0.12,0.08,0.36,0.8063291139240506,0.44639103013314646,0.003952569169960474,0.19028797289666854,0.6158730158730159,0.6158730158730159,0.23015873015873015,0.30793650793650795,0.38412698412698415,0.07847606642787365,0.4822661487821521,0.6911998417461404
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.04,0.08,0.24,0.8363636363636363,0.45544554455445546,0.003952569169960474,0.14059853190287974,0.5857988165680473,0.5857988165680473,0.3136094674556213,0.3343195266272189,0.41420118343195267,0.09117551286225985,0.46353929057904686,0.6666319293682041
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.14,0.12,0.04,0.24,0.8134034165571616,0.44855072463768114,0.003952569169960474,0.21682665160926032,0.6139240506329114,0.6139240506329114,0.3670886075949367,0.3259493670886076,0.3860759493670886,0.07945294692282644,0.4480928121262342,0.6600058245177077
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.04,0.24,0.8611793611793612,0.4627062706270627,0.003952569169960474,0.14059853190287974,0.5833333333333334,0.5833333333333334,0.30994152046783624,0.32748538011695905,0.4166666666666667,0.0963855421686747,0.46159056593900816,0.6720906749318039
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.08,0.24,0.8645320197044335,0.46367239101717306,0.003952569169960474,0.1411631846414455,0.5841874084919473,0.5841874084919473,0.3118594436310395,0.32503660322108346,0.4158125915080527,0.09605991533702377,0.46104939962600155,0.6731066682716235
golden,phi,0.6180339887498948,13,13,0.12,0.58,13,0.2,0.04,0.12,0.24,0.8679012345679012,0.4646397884996695,0.003952569169960474,0.1417278373800113,0.5834542815674891,0.5834542815674891,0.31204644412191584,0.32946298984034833,0.41654571843251087,0.095083034842071,0.4632574384302187,0.6731546791656472
